"Animate Weapon",幻化武器
"Bleed II","流血 II"
"Bleed III","流血 III"
"Bleed IV","流血 IV"
"Stun I","晕眩 I"
"Stun II","晕眩 II"
"Stun III","晕眩 III"
"Prolonged Duration I","持续时间延长 I"
"Prolonged Duration II","持续时间延长 II"
"Prolonged Duration III","持续时间延长 III"
"Compressed Duration I","持续时间压缩 I"
"Compressed Duration II","持续时间压缩 II"
"Rage I","狂怒 I"
"Rage II","狂怒 II"
"Rage III","狂怒 III"
"Atalui's Bloodletting",阿图鲁伊的放血术
"Execute I","处决 I"
"Execute II","处决 II"
"Execute III","处决 III"
"Searing Flame I","焚躯烈焰 I"
"Searing Flame II","焚躯烈焰 II"
"Behead I","斩首 I"
"Behead II","斩首 II"
"Einhar's Beastrite",伊恩哈尔的魔物仪式
"Jagged Ground I","崎岖之地 I"
"Jagged Ground II","崎岖之地 II"
"Exploit Weakness",开发要害
"Impact Shockwave",冲击震波
"Fire Penetration I","火焰穿透 I"
"Fire Penetration II","火焰穿透 II"
"Fire Exposure",火焰曝露
"Enraged Warcry I","燃怒战吼 I"
"Enraged Warcry II","燃怒战吼 II"
"Fist of War I","战争铁拳 I"
"Fist of War II","战争铁拳 II"
"Fist of War III","战争铁拳 III"
Devastate,摧残
"Heavy Swing",沉重挥舞
"Life Leech I","生命偷取 I"
"Life Leech II","生命偷取 II"
"Life Leech III","生命偷取 III"
"Brutality I","野性残暴 I"
"Brutality II","野性残暴 II"
"Brutality III","野性残暴 III"
"Meat Shield I","肉盾 I"
"Meat Shield II","肉盾 II"
"Brutus' Brain",布鲁特斯之脑
"Break Endurance",崩解耐力
"Eternal Flame I","长明烈焰 I"
"Eternal Flame II","长明烈焰 II"
"Eternal Flame III","长明烈焰 III"
"Infernal Legion I","炎军 I"
"Infernal Legion II","炎军 II"
"Infernal Legion III","炎军 III"
"Fire Attunement",火焰协调
"Efficiency I","高效 I"
"Efficiency II","高效 II"
Premeditation,先见之明
"Raging Cry",愤怒战吼
"Armour Demolisher I","护甲破坏者 I"
"Armour Demolisher II","护甲破坏者 II"
"Uruk's Smelting",厄罗克的熔炼术
"Rageforged I","怒火锤炼 I"
"Rageforged II","怒火锤炼 II"
"Armour Explosion",护甲爆破
"Stomping Ground",震撼大地
"Corrupting Cry I","腐化战吼 I"
"Corrupting Cry II","腐化战吼 II"
"Paquate's Pact",帕夸特的契约
"Deep Cuts I","凌迟 I"
"Deep Cuts II","凌迟 II"
"Armour Break I","护甲破损 I"
"Armour Break II","护甲破损 II"
"Armour Break III","护甲破损 III"
Rupture,残破（辅）
"Dazing Cry",恍神咆哮
"Elemental Armament I","元素军械 I"
"Elemental Armament II","元素军械 II"
"Elemental Armament III","元素军械 III"
"Vitality I","活力 I"
"Vitality II","活力 II"
"Herbalism I","药草学 I"
"Herbalism II","药草学 II"
"Cannibalism I","吞灵 I"
"Cannibalism II","吞灵 II"
"Aftershock I","余震 I"
"Aftershock II","余震 II"
"Aftershock III","余震 III"
Shock,感电
"Pierce I","穿透 I"
"Pierce II","穿透 II"
"Pierce III","穿透 III"
"Multishot I","多重射击 I"
"Multishot II","多重射击 II"
"Nova Projectiles",新星投射物
"Wind Wave",劲风波
"Poison I","中毒 I"
"Poison II","中毒 II"
"Poison III","中毒 III"
"Blind I","致盲 I"
"Blind II","致盲 II"
"Projectile Acceleration I","投射物加速 I"
"Projectile Acceleration II","投射物加速 II"
"Projectile Acceleration III","投射物加速 III"
"Projectile Deceleration I","投射物减速 I"
"Projectile Deceleration II","投射物减速 II"
"Vilenta's Propulsion",薇伦塔之推进
Electrocute,电殛
"Overabundance I","冗余 I"
"Overabundance II","冗余 II"
"Overabundance III","冗余 III"
Mobility,机动
"Perpetual Charge",永续充能
"Pin I","定身 I"
"Pin II","定身 II"
"Pin III","定身 III"
"Chain I","连锁 I"
"Chain II","连锁 II"
"Chain III","连锁 III"
"Lightning Exposure",闪电曝露
"Second Wind I","助力之风 I"
"Second Wind II","助力之风 II"
"Second Wind III","助力之风 III"
"Neural Overload",神经超载
"Bursting Plague",迸发之疫
"Deadly Herald",致命之捷
Corrosion,腐蚀
Infusion,灌注
Lockdown,封锁
"Bounty I","丰饶 I"
"Bounty II","丰饶 II"
"Mana Bounty",魔力丰沛
"Life Bounty",生命丰沛
"Lasting Shock",持久感电
"Lightning Attunement",闪电协调
"Life Drain",生命榨取
"Soul Drain",魂魔榨取
"Rapid Attacks I","快速攻击 I"
"Rapid Attacks II","快速攻击 II"
"Rapid Attacks III","快速攻击 III"
"Heightened Accuracy I","精准增强 I"
"Heightened Accuracy II","精准增强 II"
"Charge Profusion I","能量球激增 I"
"Charge Profusion II","能量球激增 II"
"Escalating Poison",毒性加剧
"Murderous Intent",坚韧磨砺
"Crescendo I","渐入佳境 I"
"Crescendo II","渐入佳境 II"
"Crescendo III","渐入佳境 III"
"Deadly Poison I","致命毒素 I"
"Deadly Poison II","致命毒素 II"
"Window of Opportunity I","大好时机 I"
"Window of Opportunity II","大好时机 II"
"Swift Affliction I","极速腐化 I"
"Swift Affliction II","极速腐化 II"
"Swift Affliction III","极速腐化 III"
Fusillade,连环飞矢
"Combo Finisher I","连击终结 I"
"Combo Finisher II","连击终结 II"
"Ailith's Chimes",艾利丝钟琴
"Slow Potency",减速效能
"Longshot I","远射 I"
"Longshot II","远射 II"
"Culling Strike I","终结 I"
"Culling Strike II","终结 II"
Daze,恍惚
"Break Posture",摧垮架势
"Cooldown Recovery I","冷却回复 I"
"Cooldown Recovery II","冷却回复 II"
"Precision I","精准 I"
"Precision II","精准 II"
Freeze,冻结
"Energy Barrier",能量屏障
"Frost Nexus",封冻枢纽
"Shock Conduction",感电传导
"Magnified Area I","范围扩大 I"
"Magnified Area II","范围扩大 II"
"Concentrated Area",范围集中
"Biting Frost",刺骨寒意
Hourglass,时之沙漏
"Fortress I","坚城 I"
"Fortress II","坚城 II"
"Ahn's Citadel",汉恩的城塞
"Cold Exposure",冰霜曝露
"Fiery Death",炽灭
"Frozen Vortex",冰封漩涡
"Shock Siphon",感电虹吸
Frostfire,霜火
Stormfire,风暴之炎
"Inevitable Critical",命定绝杀
"Elemental Discharge",元素解放
"Mana Flare",魔力耀斑
"Minion Instability",复仇之灵
"Deep Freeze",深度冻结
"Feeding Frenzy I","狂噬 I"
"Feeding Frenzy II","狂噬 II"
"Heightened Curse",强效诅咒
"Corpse Conservation",灵盒留存
"Cold Attunement",冰霜协调
"Rapid Casting I","快速施法 I"
"Rapid Casting II","快速施法 II"
"Rapid Casting III","快速施法 III"
"Decaying Hex",衰颓魔蛊
"Focused Curse",聚焦诅咒
"Ritualistic Curse",仪祭诅咒
"Minion Pact I","召唤契约 I"
"Minion Pact II","召唤契约 II"
"Last Gasp",亡命之息
"Tecrod's Revenge",特克罗的复仇
Supercritical,特化暴击
"Chaos Attunement",混沌协调
"Fire Mastery",火焰专精
"Cold Mastery",冰霜专精
"Lightning Mastery",闪电专精
"Chaos Mastery",混沌专精
"Physical Mastery",物理专精
"Minion Mastery",召唤生物专精
"Chaotic Freeze",混沌冻结
"Intense Agony",剧烈痛苦
"Drain Ailments",异常状态吸收
Hinder,缓速
Soulbreaker,破魂者
"Doedre's Undoing",德瑞的毁灭
"Clarity I","清晰 I"
"Clarity II","清晰 II"
"Font of Blood",血脉源泉
"Font of Mana",魔力源泉
"Font of Rage",怒火源泉
"Holy Descent",神圣降临
"Burning Inscription",燃烧铭文
"Double Barrel I","双管齐下 I"
"Double Barrel II","双管齐下 II"
"Double Barrel III","双管齐下 III"
"Ratha's Assault",拉莎的突袭
"Auto Reload",自动装填
"Ammo Conservation I","节省弹药 I"
"Ammo Conservation II","节省弹药 II"
"Ammo Conservation III","节省弹药 III"
"Arjun's Medal",阿尔琼的勋章
"Nimble Reload",敏捷装填
"Fresh Clip I","新装箭匣 I"
"Fresh Clip II","新装箭匣 II"
"Sacrificial Lamb I","替罪羔羊 I"
"Sacrificial Lamb II","替罪羔羊 II"
"Branching Fissures I","分叉裂缝 I"
"Branching Fissures II","分叉裂缝 II"
"Upheaval I","剧变 I"
"Upheaval II","剧变 II"
"Kaom's Madness",冈姆的疯狂
"Lasting Ground",持续地面
"Ricochet I","弹射 I"
"Ricochet II","弹射 II"
"Ricochet III","弹射 III"
"Urgent Totems I","紧急图腾 I"
"Urgent Totems II","紧急图腾 II"
"Urgent Totems III","紧急图腾 III"
"Long Fuse I","加长引线 I"
"Long Fuse II","加长引线 II"
Payload,子母弹
"Potent Exposure",强力曝露
"Reinforced Totems I","增强图腾 I"
"Reinforced Totems II","增强图腾 II"
"Considered Casting",审慎施法
"Wildshards I","狂野碎片 I"
"Wildshards II","狂野碎片 II"
"Sione's Temper",西奥妮的怒火
Icicle,冰刺
Glacier,冰川
Heft,势大力沉
"Rising Tempest",风暴骤起
Extraction,萃取
"Astral Projection",星界投射
"Practiced Combo",娴熟连击
Leverage,乘虚而入
"Culmination I","登峰造极 I"
"Culmination II","登峰造极 II"
Potential,潜能
Expanse,开疆
Excise,净除
Execrate,怨恨
"Energy Retention",能量保存
Ferocity,狂暴
"Sacrificial Offering",牺牲供奉
"Danse Macabre",死亡之舞
"Energy Capacitor",能量电容
"Boundless Energy I","无边能量 I"
"Boundless Energy II","无边能量 II"
"Harmonic Remnants I","和谐残迹 I"
"Harmonic Remnants II","和谐残迹 II"
Fluke,运势
"Ixchel's Torment",伊克切尔的折磨
"Zenith I","天顶 I"
"Zenith II","天顶 II"
"Bidding I","奉命 I"
"Bidding II","奉命 II"
"Bidding III","奉命 III"
Flow,波流
"Adhesive Grenades I","胶粘榴弹 I"
"Adhesive Grenades II","胶粘榴弹 II"
"Adhesive Grenades III","胶粘榴弹 III"
Commandment,调遣
"Retaliate I","反击 I"
"Retaliate II","反击 II"
Tremors,地震
Salvo,齐射
Cadence,节律
Volt,电伏积聚
"Bone Shrapnel",钙质碎片
"Alignment I","相性 I"
"Alignment II","相性 II"
"Alignment III","相性 III"
Derange,错乱
"Charged Shots I","充能射击 I"
"Charged Shots II","充能射击 II"
"Profanity I","不敬 I"
"Profanity II","不敬 II"
"Burgeon I","迅猛增幅 I"
"Burgeon II","迅猛增幅 II"
"Steadfast I","坚定 I"
"Steadfast II","坚定 II"
Flamepierce,烈焰穿刺
Freezefork,冻结分叉
Stormchain,风暴连锁
Verglas,雨淞
Embitter,苦寒之意
Battershout,震撼战吼
Nadir,天底
"Abiding Hex",恒远魔蛊
"Rusted Spikes",锈蚀尖刺
"Crazed Minions",癫狂召唤生物
"Spectral Volley",灵体齐射
Rally,奋威
Hoarfrost,白霜
Deathmarch,终末行军
Acrimony,尖刻
"Concoct I","调和术 I"
"Concoct II","调和术 II"
Ambrosia,仙馔
"Persistent Ground I","持久地面 I"
"Persistent Ground II","持久地面 II"
"Persistent Ground III","持久地面 III"
"Selfless Remnants",无我残片
"Remnant Potency I","残片效能 I"
"Remnant Potency II","残片效能 II"
"Remnant Potency III","残片效能 III"
Reverberate,回荡
Clash,形势逆转
Malady,错乱病症
Dazzle,眩目
Syzygy,朔望
Unyielding,不折
Desperation,孤注一掷
Overextend,竭力痛击
Excoriate,严厉申斥
Unbending,不屈之心
"Retreat I","撤退 I"
"Retreat II","撤退 II"
"Retreat III","撤退 III"
"Pursuit I","迫近追逐 I"
"Pursuit II","迫近追逐 II"
"Pursuit III","迫近追逐 III"
Overreach,过度延伸
Commiserate,以己度人
Blindside,盲点
"Hit and Run",连打带跑
"Defy I","顽抗 I"
"Defy II","顽抗 II"
"Crackling Barrier",霹雳屏障
Muster,海纳百川
"Hulking Minions",魁梧仆从
Caltrops,铁蒺藜
Haemocrystals,赤炼水晶
Spar,角力
Dauntless,不动如山
"Magnetic Remnants",磁化残片
"Ancestral Call I","先祖召唤 I"
"Ancestral Call II","先祖召唤 II"
"Ancestral Call III","先祖召唤 III"
"Quill Burst",棘刺爆发
"Unsteady Tempo",失衡节奏
"Ancestral Aid",先祖之助
"Shocking Leap",电震跃击
"Barbs I","荆棘倒刺 I"
"Barbs II","荆棘倒刺 II"
"Barbs III","荆棘倒刺 III"
Rime,雾凇
"Arms Length",一臂之隔
"Charm Bounty",咒符恩典
"Thornskin I","荆棘皮肤 I"
"Thornskin II","荆棘皮肤 II"
"Mysticism I","灵秘 I"
"Mysticism II","灵秘 II"
"Direstrike I","蛮勇打击 I"
"Direstrike II","蛮勇打击 II"
"Upwelling I","升流 I"
"Upwelling II","升流 II"
"Warm Blooded",温热血脉
"Cool Headed",冷静头脑
"Strong Hearted",强健心灵
"Refraction I","折射 I"
"Refraction II","折射 II"
"Refraction III","折射 III"
"Greatwood I","神木 I"
"Greatwood II","神木 II"
Untouchable,不可触及
Unabating,不倦防护
"Punch Through",击穿
Rip,撕裂
Tear,撕扯
"Brink I","崩溃边缘 I"
"Brink II","崩溃边缘 II"
Tireless,冷酷
"Volcanic Eruption",熔火喷发
"First Blood",第一滴血
"Frenzied Riposte",狂怒反击
Hobble,跛行
"Heightened Charges",强化能量球
Incision,创口
Catharsis,泄除
"Delayed Gratification",延迟满足
Loyalty,忠诚
"Romira's Requital",罗米拉的报复
"Rearm I","重新武装 I"
"Rearm II","重新武装 II"
"Delayed Reaction",延迟激活
"Volatile Power",无常之力
Gambleshot,投机射击
"Unerring Power",精准之力
Perfection,完美
Deliberation,从容不迫
"See Red",赤红鼓动
"Short Fuse I","短暂引信 I"
"Short Fuse II","短暂引信 II"
Undermine,暗中破坏
Outmaneuver,智取
"Mark for Death",死亡印记
Tumult,动乱
Admixture,混合物
"Stoicism I","坚忍 I"
"Stoicism II","坚忍 II"
"Relentless Rage",无尽怒火
Brambleslam,遍地荆棘
Inhibitor,抑制器
"Hardy Totems I","坚韧图腾 I"
"Hardy Totems II","坚韧图腾 II"
"Tawhoa's Tending",塔赫亚的照料
"Encroaching Ground",侵蚀地面
"Living Lightning",活体闪电（辅）
"Living Lightning II","活体闪电 II"
"Frozen Spite",冰冻怨恨
"Piety's Mercy",派蒂的怜悯
"Flame Pillar",烈焰之柱
"Streamlined Rounds",流线弹药
"Perfected Endurance",完美耐力
"Enduring Impact I","持续冲击 I"
"Enduring Impact II","持续冲击 II"
Crater,陨坑
"Vanguard I","先锋 I"
"Vanguard II","先锋 II"
"Crystalline Shards",水晶碎片
"Skittering Stone I","飞掠石 I"
"Skittering Stone II","飞掠石 II"
"Dialla's Desire",达拉的渴望
"Kalisa's Crescendo",卡莉莎的强音
Durability,耐久度
"Xoph's Pyre",索伏的葬火
"Esh's Radiance",艾许的光辉
"Tul's Stillness",托沃的寂静
"Uul-Netol's Embrace",乌尔尼多的拥抱
"Rakiata's Flow",拉其塔之流
"Rigwald's Ferocity",瑞佛的凶猛
"Uhtred's Exodus",乌崔德的出走
"Uhtred's Omen",乌崔德的预兆
"Uhtred's Augury",乌崔德的占卜
"Daresso's Passion",德瑞索的热情
"Atziri's Allure",阿兹里的魅惑
"Tacati's Ire",塔卡提之怒
"Zarokh's Refrain",扎洛卡的克制
"Garukhan's Resolve",格鲁坎的决心
"Kurgal's Leash",古加尔的缰绳
"Kulemak's Dominion",库勒马克的统治
"Amanamu's Tithe",阿曼娜姆的奉纳
"Varashta's Blessing",瓦拉煞的祝福
"Arbiter's Ignition",仲裁官的点燃
"Arakaali's Lust",阿拉卡力的欲望
"Demon Magus",恶魔术士
"Ferocious Roar",凶蛮咆哮
"Cast on Shock",感电时施放
"Cast on Freeze",冻结时施放
"Cast on Ignite",点燃时施放
"Cast on Elemental Ailment",元素异常状态时施放
"Cast on Critical",暴击时施放
"Barrier Invocation",屏障咒言
"Cast on Dodge",躲闪时施放
"Cast on Melee Stun",近战击晕时施放
"Summon Companion",召唤同伴
"Ancestral Warrior Totem",先祖战士图腾
"Cast on Minion Death",召唤生物死亡时施放
"Hydra Familiar",九头蛇使魔
"Called Shots",言出箭随
"Hand of Chayula",夏乌拉之手
"Elemental Invocation",元素祈求
"Reaper's Invocation",收割祈求
"Cast on Block",格挡时施放
"Curse on Block",格挡时施放诅咒
"Cast on Charm Use",使用咒符时施放
"Thundergod's Wrath",雷霆神祇之怒
"Fire Spell on Hit",击中时火焰法术
"Mortar Cannon",迫击大炮
"Glacial Shield Swipe",冰川盾袭
"Crushing Fist",粉碎重拳
Swordstorm,落刃风暴
Eviscerate,剔骨
"Divine Retribution",神圣报应
"Vengeful Cry",复仇咆哮
Autoexertion,自动增助
"Order: To me!",命令：来我身边！
"More Duration",持续时间总增（辅）
Overexertion,超能增助（辅）
"Expert Retaliation",专擅反击（辅）
"Focused Channelling",专注吟唱（辅）
"Wall of Force",力场之墙
Conflagration,燃火箭雨
"Kinetic Rain",念动之雨
"Somatic Shell",念动壁垒
Thunderstorm,雷霆风暴
"Kinetic Fusillade",念动齐射
"Return to Dust",归于尘土
"Seize the Flesh",攫取血肉
"Violent Desire",暴烈欲望
"Tender Embrace",温柔之拥
"Heart of Flame",烈焰之心
"His Burning Message",焚世箴言
"Call the Pyre",苍焰火柱
"The Grey Wind Howls",灰风呼号
"Wreathed in Light",辉耀加身
"Glowing Silhouette",光铸剪影
"Enervating Grasp",虚弱之握
"Overcharged Sinews",血肉过载
"Dance in the White",白霜漫舞
"Falling Crystals",天坠冰晶
"The Great Avalanche",崩塌盛雪
"Preserving Stillness",静谧守恒
Windburst,风爆术（辅）
"Kinetic Instability",念动失稳（辅）
"Coursing Current",奔雷疾走
"Molten Crash",熔岩冲击
"Shattering Spite",碎裂恶意
Rend,龙爪撕裂
"Wolf Pack",狼群
"Cackling Companions",鬣狗同伴
Pounce,巨狼猛扑
"Tectonic Slams",破釜一击
"Nova Projectiles I","新星投射物 I"
"Eonyr's Thunder",伊奥尼尔的雷霆
"Shock Conduction I","感电传导 I"
"Shock Conduction II","感电传导 II"
Expand,扩展
"Zarokh's Revolt",扎洛卡的反叛
"Biting Frost I","刺骨寒意 I"
"Biting Frost II","刺骨寒意 II"
"Inexorable Critical I","命定绝杀 I"
"Inexorable Critical II","命定绝杀 II"
"Oisín's Oath",奥辛之誓
"Ice Bite I","霜咬 I"
"Ice Bite II","霜咬 II"
"Bhatair's Vengeance",巴蒂尔的复仇
"Hayoxi's Fulmination",海幽夏的诛罚
"Zerphi's Infamy",泽佛伊的恶名
"Helbrym's Hide",赫尔布林的隐瞒
"Navira, the Last Mirage",纳薇拉，终末幻影
"Navira's Fracturing",纳薇拉之裂
"Navira's Well",纳薇拉之井
"Ruzhan, the Blazing Sword",鲁詹，炽焰之剑
"Ruzhan's Trap",鲁詹之陷阱
"Ruzhan's Reckoning",鲁詹之清算
"Ruzhan's Fury",鲁詹之怒火
"Kelari, the Tainted Sands",凯拉里，污秽沙暴
"Kelari's Deception",凯拉里之诡计
"Kelari's Judgment",凯拉里之审判
"Kelari's Malediction",凯拉里的诅咒
"Align Fate",命运同调
"Moment of Vulnerability",脆弱瞬间
"Mirage Deadeye",蜃影神射
"Guatelitzi's Ablation",瓜铁雷兹的消融
"Ambrosia II","仙馔 II"
"Cirel's Cultivation",西雷尔的教化
"Splinter Totem I","碎片图腾 I"
"Splinter Totem II","碎片图腾 II"
"Mark for Death II","死亡印记 II"
"Static Shocks",静电脉冲
"Wing Blast",烈风吹袭
"Oil Barrage",黏油炮弹
"Flame Breath",龙炎吐息
Entangle,纠缠
Shred,狼爪撕裂
"Fury of the Mountain",山岳之怒
"Cross Slash",双爪劈击
"Lunar Assault",月痕突袭
"Primal Avatar",荒野化身
"Thrashing Vines",鞭笞藤蔓
"Lunar Blessing",月神赐福
"Arctic Howl",极地战嚎
Electromagnetism,电磁力场
"Dominus' Grasp",神主之握
"Atziri's Call",阿兹里的召唤
"Atziri's Communion",阿兹里的圣礼
"Atziri's Impatience",阿兹里的焦躁
"Dreamer's Knell",幻梦者的丧钟
"Tasalio's Rhythm",塔萨里奥的律动
"Xibaqua's Rending",夏巴夸亚的撕裂
"Khatal's Rejuvenation",卡哈塔的复苏
"Morgana's Tempest",莫甘娜的暴风
"Navira's Oasis",纳薇拉之绿洲
"Creeping Chill",蔓延寒霜
Briarpatch,荆刺之缚
"Eternal Rage",永恒狂怒
"Savage Fury",凶蛮怒火
"Walking Calamity",灾厄行者
Apocalypse,天灾
"Mark of Siphoning",虹吸印记
"Mark of Siphoning II",虹吸印记II
"Thrill of the Kill",杀戮快感
"Thrill of the Kill II",杀戮快感II
"Exposing Cry",洞悉战嚎
"Opening Move",起手式
"Accelerated Growth",迅猛绽放
"Accelerated Growth II",迅猛绽放II
"Fan The Flames",煽风点火
"Fan The Flames II",煽风点火II
"Mirror of Refraction",折射之镜
Barkskin,树肤术
"Feral Invocation",野性召唤
"Poison Spores",毒孢迸溅
"Deadly Resolve",致命决心
"Advancing Storm",风暴行军
"Echoing Cry",回荡战嚎
Gorge,狼吞虎咽
"Empowered Sparks I","强化火花 I"
"Empowered Sparks II","强化火花 II"
"Controlled Hazard",受控危技
"Brittle Armour",脆弱护甲
"Rending Apex",撕裂巅峰
"Practical Magic I",实用魔法I
"Practical Magic II",实用魔法II
"Blazing Critical",炽烈绝杀
"Concussive Spells",冲击法术
"Eternal Mark",永恒印记
"Catalysing Elements",元素催化
"Nova Projectiles II","新星投射物 II"
"Charged Mark",充能印记
"Holy Sweep",神圣横扫
"Holy Hammers",神圣之锤
"Shield of Light",光明之盾
"Holy Strike",神圣打击
"Divine Blast",神圣冲击
"Multiple Projectiles",多重投射（辅）
"Greater Spell Cascade",高阶多重施法范围（辅）
Eclipse,月蚀（辅）
"Invert the Rules",逆转规则（辅）
"Cast on Ward Break",结界破碎时释放（辅）
Ward,结界（辅）
"Vaal Sacrifice",瓦尔献祭（辅）
"Greater Spell Echo",高阶施法回响（辅）
"Vaal Temptation",瓦尔诱惑（辅）
Machinations,诡诈阴谋（辅）
Pyre,燃焰（辅）
Bonespire,白骨尖塔（辅）
Foulgrasp,邪秽之握（辅）
Hiveborn,裂隙虫群（辅）
"Scornful Herald",蔑视使者（辅）
"Cull the Weak",弱肉强食（辅）
"Greater Ancestral Call",高阶先祖召唤（辅）
Fissure,裂缝（辅）
Hextoad,魔蛊蟾蜍（辅）
Hexpass,魔蛊通道（辅）
"Greater Fork",高阶分裂（辅）
"Greater Chain",高阶连锁（辅）
"Lethal Dose",致死剂量（辅）
Companionship,忠诚伙伴（辅）
"Divine Sentinel",神圣哨兵（辅）
Annihilation,抹灭（辅）
Edify,启发（辅）
Invention,发明（辅）
"Greater Kinetic Instability",高阶念动失稳（辅）
"Cooldown Recovery",冷却回复（辅）
Voidstorm,虚空风暴（辅）
"Void Shockwave",虚空震波（辅）
"Eldritch Blasphemy",古神亵渎（辅）
Gluttony,暴食（辅）
Overheat,过热（辅）
"Greater Multistrike",高阶多重打击（辅）
Congregation,亡灵大军（辅）
Frostmage,寒霜法师（辅）
"Greater Devour",高阶吞噬（辅）
Magnetism,磁力（辅）
"Greater Unleash",高阶释出（辅）
Pacifism,和平主义（辅）
"Bloodsoaked Banner",血染旗帜（辅）
"Minion Pact",随从契约（辅）
"Harrowing Throng",亡灵大军（辅）
"Unholy Trinity",不洁三体（辅）
"Overloaded Intensity",过载强度（辅）
Transfusion,渗透（辅）
Excommunicate,神圣驱逐(辅）
Exemplar,英勇典范（辅）
"Blessed Call",祝福呼唤（辅）
Hallow,圣化（辅）
