"Nailed Fist",拳钉
"Ironwood Greathammer",铁木大锤
"Fanatic Greathammer",狂乱大锤
"Ruination Maul",毁灭巨锤
"Massive Greathammer",庞然大锤
"Tawhoan Greatclub",塔赫亚巨棍
"Rattling Sceptre",罪孽短杖
"Stoic Sceptre",克己短杖
"Lupine Sceptre",幽狼短杖
"Omen Sceptre",预兆短杖
"Shrine Sceptre",圣地短杖
"Devouring Sceptre",吞噬短杖
"Clasped Sceptre",握扣短杖
"Devotional Sceptre",虔诚短杖
"Wrath Sceptre",愤怒短杖
"Aromatic Sceptre",芳香短杖
"Pious Sceptre",虔信短杖
"Hallowed Sceptre",崇圣短杖
"Wrapped Quarterstaff",裹布节杖
"Long Quarterstaff",长柄节杖
"Gothic Quarterstaff",哥特节杖
"Crackling Quarterstaff",霹雳节杖
"Crescent Quarterstaff",月牙节杖
"Steelpoint Quarterstaff",钢缘节杖
"Slicing Quarterstaff",锋缘节杖
"Barrier Quarterstaff",护身节杖
"Hefty Quarterstaff",沉重节杖
"Smooth Quarterstaff",优雅节杖
"Anima Quarterstaff",心能节杖
"Graceful Quarterstaff",风雅节杖
"Wyrm Quarterstaff",腾龙节杖
"Reaching Quarterstaff",延伸节杖
"Barbarous Quarterstaff",蛮族节杖
"Arcing Quarterstaff",弧影节杖
"Waxing Quarterstaff",蜡饰节杖
"Bladed Quarterstaff",锋刃节杖
"Guardian Quarterstaff",守护者节杖
"Sinister Quarterstaff",邪恶节杖
"Lunar Quarterstaff",月光节杖
"Striking Quarterstaff",打击节杖
"Bolting Quarterstaff",霹雳节杖
"Aegis Quarterstaff",神盾节杖
"Razor Quarterstaff",刀锋节杖
"Dreaming Quarterstaff",梦境节杖
"Hardwood Spear",硬木长矛
"Ironhead Spear",铁头长矛
"Hunting Spear",狩猎长矛
"Winged Spear",飞翼长矛
"War Spear",历战长矛
"Forked Spear",分叉长矛
"Barbed Spear",倒刺长矛
"Broad Spear",宽首长矛
"Crossblade Spear",十字长矛
"Seaglass Spear",海琉长矛
"Sword Spear",剑刃长矛
"Striking Spear",精标长矛
"Helix Spear",螺旋长矛
"Steelhead Spear",钢头战矛
"Coursing Spear",追击战矛
"Swift Spear",迅捷战矛
"Branched Spear",分叉战矛
"Jagged Spear",锯齿战矛
"Massive Spear",重型战矛
"Orichalcum Spear",奥利哈刚战矛
"Pronged Spear",叉尖战矛
"Stalking Spear",潜行战矛
"Flying Spear",飞行战矛
"Grand Spear",宏伟战矛
"Spiked Spear",尖刺战矛
"Akoyan Spear",阿科扬战矛
"Makeshift Crossbow",拼凑战弩
"Tense Crossbow",紧弦战弩
"Sturdy Crossbow",坚固战弩
"Varnished Crossbow",浸漆战弩
"Dyad Crossbow",双联战弩
"Alloy Crossbow",合金战弩
"Bombard Crossbow",轰炸战弩
"Construct Crossbow",构造战弩
"Blackfire Crossbow",黯焰战弩
"Piercing Crossbow",穿刺战弩
"Cumbrous Crossbow",重装战弩
"Dedalian Crossbow",机巧战弩
"Esoteric Crossbow",玄奥战弩
"Taut Crossbow",绷紧战弩
"Robust Crossbow",坚固战弩
"Painted Crossbow",彩绘战弩
"Twin Crossbow",双生战弩
"Cannonade Crossbow",轰鸣战弩
"Bleak Crossbow",刺骨战弩
"Stout Crossbow",粗壮战弩
"Engraved Crossbow",雕饰战弩
"Flexed Crossbow",弯曲战弩
"Gemini Crossbow",双灵战弩
"Siege Crossbow",摧城弩
"Desolate Crossbow",苍凉战弩
"Elegant Crossbow",典雅战弩
"Splintered Flail",碎裂连枷
"Chain Flail",精索连枷
"Holy Flail",神祝连枷
"Iron Flail",钢铁连枷
"Twin Flail",双首连枷
"Slender Flail",长鞭连枷
"Stone Flail",巨石连枷
"Ring Flail",环锁连枷
"Guarded Flail",卫甲连枷
"Icicle Flail",冰刺连枷
"Tearing Flail",碎肉连枷
"Great Flail",巨型连枷
"Abyssal Flail",深渊连枷
"Clay Trap",黏土陷阱
"Clamping Trap",铁颚陷阱
"Shrapnel Trap",破片陷阱
"Urn Trap",古瓮陷阱
"Incense Trap",熏香陷阱
"Bladed Trap",利刃陷阱
"Dart Trap",飞镖陷阱
"Spike Trap",尖刺陷阱
"Coiled Trap",盘曲陷阱
"Lead Trap",铅链陷阱
"Medallion Trap",纹章陷阱
"Intricate Trap",巧妙陷阱
"Refined Trap",精工陷阱
"The Endless Night",无止长夜
"Winter's Bite",寒冬噬咬
"Wylund's Stake",怀伦德之桩
Hoghunt,猎猪大棒
"Dusk Vigil",暮色守望
"Sanguine Diviner",赤红占卜师
"Enezun's Charge",恩纳尊的职责
"Falling Snow",飘零飞雪
Ironbound,铁箍战弓
Splinterheart,裂心之弦
"Dealer's Hand",商人之手
"Mist Whisper",迷雾低语者
"Rampart Raptor",要塞的猛禽
Olrovasara,欧罗瓦萨拉
"Brynhand's Mark",布琳翰德印记
"Pulpit Pulper",讲坛粉碎者
Trenchtimbre,战壕砥柱
"Sculpted Suffering",雕琢的苦难
"Seeing Stars",迷星之锤
Goldshaper,塑金者
Bluetongue,幽蓝毒舌
"The Sentry",哨望
Matsya,摩蹉
"Nazir's Judgement",纳吉尔的审判
"Rhea's Rhythm",利亚的旋律
"Font of Power",力量的源泉
Heartseeker,寻心者
Earthbound,地缚杖
Grimgrasp,恐惧之握
Trephina,穿洞奇械
"The Empty Roar",空荡怒吼
Shyaba,席亚巴
"The Wicked Quill",邪恶之翎
"Rod of Enervation",衰弱魔棒
"The Dark Defiler",黑暗渎神
"Collapsing Horizon",崩塌视界
"Sacred Flame",神圣之火
"Guiding Palm of the Heart",心脏之指引之掌
Skysliver,苍穹裂片
INCOMPLETE,未完成
"Splinter of Lorrata",罗瑞塔的破片
"Daevata's Wind",戴瓦塔的幻风
"Tyranny's Grip",暴政之握
Chainsting,缚链之针
"The Hammer of Faith",信仰之锤
"Demigod's Judgement",升华之审判
"Saitha's Spear",赛萨之矛
"The Grand Design",宏伟设计
Windpiercer,破风之弦
"Double Vision",双生视界
"Rhoa Reaver",恐喙鸟收割者
"Strike of Inspiration",灵光乍现
"Spire of Ire",怨怒塔矛
Tangletongue,纠缠之舌
"Courtly Discord",宫廷乱事
Cursecarver,刻咒
"The Last Lament",末后哀歌
"Guiding Palm of the Eye",眼目之指引之掌
"Guiding Palm of the Mind",意念之指引之掌
"Adonia's Ego",阿多尼娅的自我
"Palm of the Dreamer",幻梦者之掌
"Fairgraves' Curse",费尔的诅咒
"The Unborn Lich",未生巫妖
"The Living Blade",活木之刃
"Tawhoa's Felling",塔赫亚的砍伐
"Serle's Masterwork",瑟蕾的杰作
Starcaller,唤星
"Mystic Refractor",神秘折射镜
"Cadigan's Authority",卡迪甘的权威
"Legacy of the Rose",玫瑰遗产
"Somatic Wand",肉体法杖
"Blasting Wand",爆破法杖
"Kinetic Wand",念动法杖
"Festering Resentment",积怨溃脓
"The Grey Wind",灰风
"Wing of the Wyvern",飞龙之翼
"The Golden Charlatan",金玉诈欺者
"The Monastery Bell",修道院钟声
"Jiquani's Potential",佳华尼的潜能
"Unlight Extant",暗光遗存
"Reflecting Staff",反射长杖
"Skullcrusher Quarterstaff",碎颅节杖
"Soaring Spear",翱翔战矛
"Guardian Spear",守护者战矛
"Changeling Talisman",易形魔符
"Nettle Talisman",荨麻魔符
"Cinderbark Talisman",烬皮魔符
"Familial Talisman",血亲魔符
"Frenzied Talisman",狂怒魔符
"Primal Talisman",原初魔符
"Rabid Talisman",狂犬魔符
"Vicious Talisman",凶恶魔符
"Voltfang Talisman",电牙魔符
"Lumbering Talisman",蹒跚魔符
"Roaring Talisman",怒嚎魔符
"Wingbeat Talisman",翼振魔符
"Condemned Talisman",罪孽魔符
"Howling Talisman",怒嚎魔符
"Fury Talisman",狂怒魔符
"Cruel Talisman",残酷魔符
"Spiny Talisman",荆刺魔符
"Ashbark Talisman",灰烬树皮魔符
"Fang Talisman",利齿魔符
"Fungal Talisman",真菌魔符
"Alpha Talisman",首领魔符
"Maji Talisman",众神魔符
"Wildwood Talisman",荒林魔符
"Thunder Talisman",雷霆魔符
"Jade Talisman",翡翠魔符
"Amor Mandragora",爱神曼陀罗
"Fury of the King",君王之怒
"Atziri's Contempt",阿兹里的蔑视
"Hysseg's Claw",西赛格之爪
"The Flesh Poppet",血肉傀儡
"The Sands of Time",时之沙
Skysunder,破天者
Fleshrender,裁肉者
"The Sacred Chalice",圣洁圣杯
"The Desecrated Chalice",亵渎圣杯
"The Flame of Hope",希望之火
"The Broken Elegy",破碎挽歌
"The Bane of Hope",希望之祸
