"Abberath's Fury",艾貝拉斯之怒
"Earthshatter of Fragility",碎地重擊．易碎
"Earthshatter of Prominence",碎地重擊．卓越
"Void Sphere of Rending",虛無玉．分裂
"Crackling Lance of Branching",碎雷電閃．分支
"Crackling Lance of Disintegration",碎雷電閃．毀滅
"Splitting Steel of Ammunition",鋼之裂化．彈藥
"Lancing Steel of Spraying",鋼之突刺．噴射
"Glacial Cascade of the Fissure",冰川之刺．裂隙
"Hexblast of Contradiction",咒術枯萎．矛盾
"Hexblast of Havoc",咒術枯萎．浩劫
"Exsanguinate of Transmission",抽血．傳染
"Rage Vortex of Berserking",盛怒漩渦．狂暴
"Absolution of Inspiring",赦免．啟發
"Blade Trap of Greatswords",刀鋒陷阱．巨劍
"Blade Trap of Laceration",刀鋒陷阱．撕裂
"Forbidden Rite of Soul Sacrifice",禁忌儀式．靈魂獻祭
"Storm Rain of the Conduit",暴風雷雨．導管
"Storm Rain of the Fence",暴風雷雨．籬笆
"Shield Crush of the Chieftain",重盾粉碎．酋長
"Summon Reaper of Revenants",召喚奪魂鐮．亡靈
"Summon Reaper of Eviscerating",召喚奪魂鐮．剜剖
"Boneshatter of Complex Trauma",碎骨．創傷
"Boneshatter of Carnage",碎骨．屠殺
"Explosive Concoction of Destruction",爆裂物．破壞
"Eye of Winter of Finality",凜冬之眼．終結
"Eye of Winter of Transience",凜冬之眼．轉瞬
"Lightning Conduit of the Heavens",導雷．天堂
"Galvanic Field of Intensity",電光領域．強度
"Frozen Legion of Rallying",戰亂．凍結．號召
"Volcanic Fissure of Snaking",炎火脈動．蜿蜒
"Summon Dark Effigy",召喚黑暗雕像
Barkskin,木質外膚
"Penance Mark",苦行印記
Affliction,禁咒
Pacify,平靜
Ravenous,貪婪
"Elemental Hit of the Spectrum",元素打擊．光譜
"Ice Shot of Penetration","冰霜射擊 ．穿透"
"Incinerate of Expanse",燒毀．蔓延
"Incinerate of Venting",燒毀．通風
"Kinetic Blast of Clustering",力量爆破．聚集
"Summon Holy Relic of Conviction",召喚聖物．信念
"Artillery Ballista of Cross Strafe","火砲砲塔 ．掃射"
"Artillery Ballista of Focus Fire","火砲砲塔 ．集火"
"Poisonous Concoction of Bouncing","毒藥 ．彈炸"
"Tornado of Elemental Turbulence","龍捲風 ．湍流"
"Transform into Mimic",變形成寶箱
Automation,自動化
"Call to Arms",武裝召喚
"Summon Sacred Wisps",召喚聖潔妖精
"Assume Disguise",採取偽裝
Autoexertion,自動竭盡
"Crushing Fist",粉碎之拳
"Divine Retribution",神聖制裁
Eviscerate,剔骨
"Fury of the Awakener",喚醒者之怒
"Glacial Shield Swipe",冰川盾擊
"Jet of Flame",烈焰噴射
"Puncture of Shanking",腿脛放血
"Summon an image of Beidat, Archangel of Death",召喚死亡天使．貝達特的形象
"Summon an image of K'tash, the Hate Shepherd",召喚仇恨牧人．克塔什的形象
"Summon Demon Beast",召喚惡魔野獸
"Summon Demon Harpy",召喚惡魔鷹身
"Summon Demon Imp",召喚惡魔小鬼
"Summon Pale Angel",召喚蒼白天使
"Summon Pale Cherubim",召喚蒼白小天使
"Summon Pale Servitor",召喚蒼白僕從
"Summon Skeletons of Archers",召喚骷髏．箭術
"Summon Skeletons of Mages",召喚骷髏．巫術
Swordstorm,劍刃風暴
"Unbound Avatar",無縛化身
"Vengeful Cry",復仇之嚎
"Alchemist's Boon",煉金師恩惠
"Ancestral Cry Mortar",先祖戰吼迫擊砲
"Ancestral Spirits",先祖之魂
"Ancestral Warrior Totem",先祖戰士圖騰
Archmage,大法師
"Armour Breaker",護甲碎擊
"Armour Piercing Rounds",穿甲彈藥
"Artillery Shot",圍城爆發
Attrition,損耗
"Axe Slash",斧鉞斬
"Barrier Invocation",屏障祈願
"Basic Attack",基礎攻擊
"Basic Bolt",基礎弩箭
"Bind Spectre",束縛幽魂
Blasphemy,瀆神
"Blazing Lance",熾烈之槍
"Bleeding Concoction",流血混合物
Blink,閃現
"Bone Blast",骨之爆破
"Bone Cage",骨牢
"Bone Explosion",骸骨爆炸
Bonebreaker,裂骨者
Bonestorm,骸骨風暴
"Bow Shot",弓箭射擊
"Burning Inscription",爆燃銘文
BurningNova,燃燒新星
"Burst Shot",爆發射擊
"Cast on Block",格擋時施放
"Cast on Critical",暴擊時施放
"Cast on Death",死亡時施放
"Cast on Dodge",閃避時施放
"Cast on Freeze",冰凍時施放
"Cast on Ignite",點燃時施放
"Cast on Melee Kill",近戰擊殺時施放
"Cast on Melee Stun",近戰擊暈時施放
"Cast on Minion Death",召喚物死亡時施放
"Cast on Shock",感電時施放
"Cast when Damage Taken",受傷時施放
"Cast when Stunned",暈眩時施放
"Cast while Channelling",引導時施放
"Chaos Bolt",混沌弩箭
"Charge Infusion",充能灌注
"Charged Shockwave",充能震波
"Charged Staff",充能長杖
"Claw Stab",利爪刺擊
"Cluster Grenade",集束擲彈
"Combat Frenzy",戰鬥狂怒
Comet,彗星
"Command: {0} ","號令：{0} "
"Consume Corpse",噬屍
"Crossbow Shot",十字弓射擊
"Crystal Explosion",水晶爆炸
"Dagger Stab",匕首刺擊
"Dark Effigy",黑暗雕像
"Death Storm",死寂風暴
Decompose,分解
"Demon Form",惡魔變身
"Detonating Arrow",爆破箭矢
"Direct Minions",直接召喚物
"Electrocuting Arrow",電極箭矢
"Elemental Conflux",元素匯流
"Elemental Discharge",元素解放
"Elemental Expression",元素表現
"Elemental Invocation",元素祈願
"Elemental Storm",元素風暴
"Ember Fusillade",餘燼齊射
"Emergency Reload",緊急裝填
"Encase in Jade",包覆於翠玉中
Enrage,暴怒
"Escape Shot",逃脫之矢
"Explosive Demise",爆炸之亡
"Explosive Grenade",爆炸擲彈
"Explosive Shot",爆炸矢
"Falling Thunder",崩雷鳴
"Ferocious Roar",兇猛怒吼
"Fiery Death",火熱死寂
"Fire Bomb",火焰炸彈
Firebolt,火彈
"Flail Strike",鏈錘打擊
"Flash Grenade",閃光擲彈
"Fragmentation Rounds",分裂彈藥
"Freezing Explosion",冷凍爆炸
"Freezing Mark",冰凍印記
"Freezing Nova",冰凍新星
"Freezing Salvo",凍結齊射
"Freezing Shards",冰凍裂片
"Freezing Word",冰凍之語
"Frozen Locus",寒冰軌跡
"Fulminating Concoction",烈性混合物
"Furious Slam",狂暴重擊
"Gale Force",颶風之力
"Galvanic Shards",電能碎片
"Gas Arrow",毒氣箭矢
"Gas Grenade",毒氣擲彈
"Gathering Storm",風暴凝聚
Generosity,和善
"Ghost Dance",鬼魂之舞
"Glacial Bolt",冰川弩箭
"Greater Lightning Bolt",雷彈
"Grim Feast",冷酷之宴
"Hailstorm Rounds",冰雹彈藥
"Hammer of the Gods",眾神之錘
"Hand of Chayula",夏烏拉之手
"Herald of Plague",瘟疫之捷
"High Velocity Rounds",高速彈藥
"Hydra Familiar",九頭蛇近親
Hypothermia,急凍
"Ice Bomb",寒冰炸彈
"Ice Shard",寒冰碎片
"Ice Shards",寒冰碎片
"Ice Strike",霜星連擊
Impale,穿刺
"Incendiary Shot",烈焰射擊
"Incendiary Siege Cascade",烈焰圍城爆發
"Incendiary Siege Cascade Ammo",烈焰圍城爆發彈藥
"Into the Breach",遁入裂痕
"Killing Palm",摧命之掌
"Life Remnants",生命痕跡
"Lightning Rod",雷霆之杖
"Lightning Storm",閃電風暴
"Lingering Illusion",殘留幻象
"Living Bomb",活體炸彈
"Load Armour Piercing Rounds",裝填穿甲彈藥
"Load Explosive Shot",裝填爆炸矢
"Load Fragmentation Rounds",裝填分裂彈藥
"Load Galvanic Shards",裝填電能碎片
"Load Glacial Bolt",裝填冰川弩箭
"Load Hailstorm Rounds",裝填冰雹彈藥
"Load High Velocity Rounds",裝填高速彈藥
"Load Ice Shards",裝填寒冰碎片
"Load Incendiary Shot",裝填烈焰射擊
"Load Permafrost Bolts",裝填永凍弩箭
"Load Plasma Blast",電漿強擊矢彈藥
"Load Rapid Shot",裝填疾射
"Load Shockburst Rounds",裝填震爆彈藥
"Load Siege Cascade",裝填圍城爆發彈藥
"Load Stormblast Bolts",裝填雷暴彈藥
"Mace Strike",錘之打擊
"Magma Barrier",熔岩屏障
"Magma Spray",岩漿噴濺
"Magnetic Salvo",電磁齊射
Malice,絕滅恨惡
"Mana Drain",魔力吸取
"Mana Flare",魔力閃焰
"Mana Remnants",魔力痕跡
"Mana Tempest",魔力暴風
"Manifest Dancing Dervish",幻化狂舞德爾維希
"Mantra of Destruction",毀滅神咒
Maul,爪擊
Meditate,冥想
"Molten Blast",熔火爆破
"Oil Grenade",燃油擲彈
"Overwhelming Presence",壓倒性的存在
"Pain Offering",劇痛獻祭
"Perfect Strike",完美打擊
"Permafrost Bolts",永凍弩箭
"Plague Burst",疫源爆發
"Plague Nova",疫源新星
"Plasma Blast",電漿強擊矢
"Poisonburst Arrow",毒爆箭矢
"Power Shot",強擊矢
"Profane Ritual",瀆神祭祀
Punch,正拳
"Quarterstaff Strike",細杖打擊
"Raging Spirits",憤怒狂靈
"Raise Shield",展開護盾
Rampage,暴怒
"Rapid Assault",極速進攻
"Rapid Shot",疾射
"Reaper's Invocation",收割者的祈願
"Resonating Shield",共鳴之盾
"Resonating Slam",共鳴重擊
"Revive Skeleton",復甦骷髏
"Ripwire Ballista",撕裂砲塔
"Ripwire Bolt",撕裂弩箭
"Rolling Slam",翻騰重擊
Sacrifice,獻祭
"Scavenged Plating",拾荒者護板
"Shard Scavenger",碎片清除者
"Shattering Concoction",粉碎混合物
"Shattering Palm",粉碎之掌
"Shield Wall",盾牆
"Shockburst Rounds",震爆彈藥
"Shockchain Arrow",電鍊箭矢
"Shockwave Slam",震波重擊
"Siege Cascade",圍城爆發
"Siphoning Strike",虹吸打擊
"Skeletal Arsonist Minion",骷髏縱火者召喚物
"Skeletal Brute Minion",骷髏巨獸召喚物
"Skeletal Cleric Minion",骷髏牧師召喚物
"Skeletal Frost Mage Minion",骷髏霜寒法師召喚物
"Skeletal Reaver Minion",骷髏掠奪者召喚物
"Skeletal Sniper Minion",骷髏狙擊手召喚物
"Skeletal Storm Mage Minion",骷髏風暴法師召喚物
"Skeletal Warrior Minion",骷髏戰士召喚物
"Solar Orb",日耀球
"Sorcery Ward",巫術護盾
"Soul Offering",靈魂獻祭
Soulbreaker,破魂者
"Spear Stab",長矛刺擊
Spearfield,長矛之錐
"Spectre: {0} ",幽魂：{0}
"Spinning Inferno",旋轉獄火
"Spiral Volley",螺旋之弦
"Staggering Palm",撼敵之掌
Stampede,踐踏
"Stomping Ground Shockwave",重踏地面震波
"Storm Spear",風暴長鋒
"Storm Surge",風暴洶湧
"Storm Wave",風暴浪湧
"Stormblast Bolts",雷暴彈藥
"Stormcaller Arrow",風暴呼喚箭矢
"Summon Ballista Totem",召喚砲塔圖騰
"Summon Companion",召喚盟友
"Summon Demon Magus",召喚惡魔瑪格思
"Summon Infernal Hound",召喚獄炎獵犬
"Summon Rhoa Mount",召喚恐喙鳥座騎
"Summon Spell Totem",召喚之術圖騰
"Summon Wolf",召喚惡狼
"Supercharged Slam",超載重擊
"Sword Slash",劍刃斬
"Tempest Bell",風暴之鐘
"Tempest Flurry",暴風亂舞
"Time Freeze",時間凍結
"Time of Need",緊急時刻
"Time Snap",時間短縮
"Toxic Growth",毒素植栽
Unleash,釋放
"Vaulting Impact",跳躍衝擊
"Vile Effusion",惡劣凝聚
"Vine Arrow",藤蔓箭矢
Volcano,火山
"Voltaic Grenade",電流擲彈
"Voltaic Mark",電流印記
"Voltaic Nova",電流新星
"Wave of Frost",寒冰波
"Whirling Assault",迴旋擊
"Whirling Slash",迴旋斬
"Whirlwind Spear",旋風長鋒
"Wind Blast",破風爆裂
"Wind Blast (Quarterstaff)",破風爆裂（細杖）
"Wind Blast (Unarmed)",破風爆裂（空手）
"Wind Dancer",風魔舞者
"Wind Wave",疾風之波
"Withering Presence",凋零光環
Disengage,脫離戰鬥
Brink,邊緣
"Abiding Hex",永久咒術
Ablation,消融
Acceleration,加速
Acrimony,毒辣
Adhere,堅守
Aftershock,餘震
Alignment,聯合
Ambrosia,艾布蘿西雅
"Ammo Conservation",彈藥保存
"Ancestral Aid",先祖援助
"Ancestral Call",先祖怒嚎輔助
"Ancestral Urgency",先祖執著
"Arcane Tempo",秘能節奏
"Armour Explosion",護甲爆破
"Arms Length",伸手可及
"Astral Projection",星空投影
"Auto Reload",自動裝填
Barbs,倒刺
Battershout,猛擊吶喊
Behead,斬首
Bidding,出價
"Biting Frost",刺骨冰霜
Blindside,偷襲
"Blood Boil",鮮血沸騰
"Blood Hunt",鮮血狩獵
"Blood in the Eyes",殺紅眼
"Bloodhound's Mark",鮮血獵犬印記
Bloodlust,嗜血
Bludgeon,連續重擊
"Bone Shrapnel",骨片
"Break Endurance",打破忍耐
"Break Posture",破壞姿態
Brutality,野性殘暴
Bullseye,正中紅心
Burgeon,萌芽
"Bursting Plague",爆裂瘟疫
Cadence,終止
Caltrops,蒺藜
Cannibalism,食人
Capacitor,電容
"Cast on Charm Use",使用護符時施放
Catharsis,宣洩
"Chance to Freeze",冰凍機率
"Chaos Mastery",混沌專精
"Chaotic Freeze",混沌冰凍
"Charged Shots",充能射擊
"Charm Bounty",護符恩惠
Clash,交鋒
"Close Combat",近身戰
"Cold Exposure",冰冷曝曬
"Cold Infusion",冰冷灌注
"Cold Mastery",冰冷專精
"Cold Penetration",冰冷穿透
"Combo Finisher",連擊終結
Commandment,誡命
Commiserate,憐憫
Comorbidity,併發症
"Companion: {0}",盟友：{0}
"Concentrated Effect",集中效應
Concoct,調製
Conduction,傳導
"Considered Casting",細思施法
"Controlled Destruction",精準破壞
Convalescence,恢復期
"Cool Headed",冷靜
"Corpse Conservation",屍體保存
Corrosion,衰敗
"Corrupting Cry",汙染戰吼
"Coursing Current",雷鳴湍流
"Crackling Barrier",電流屏障
"Crazed Minions",發狂召喚物
Crescendo,逐漸增強
"Cull The Weak",撲殺弱者
Culmination,頂點
"Cursed Ground",詛咒地面
"Danse Macabre",骷髏之舞
Dauntless,無畏
"Dazing Cry",目眩戰吼
"Deadly Herald",致命先驅
"Deadly Poison",致命毒藥
Deathmarch,死亡行進
"Decaying Hex",腐朽咒術
Deceleration,降速
"Deep Cuts",深度切割
"Deep Freeze",深度冰凍
Defy,違抗
"Delayed Gratification",延遲滿足感
"Delayed Reaction",延遲反應
Deliberation,審慎
Demolisher,爆破手
"Demon Magus",惡魔瑪格思
Derange,精神錯亂
Despoiler,掠奪者
"Detonate Minion",引爆召喚物
Devastate,蹂躪
Direstrike,極惡打擊
Discombobulate,迷惑
Dissipate,消散
Domain,領域
"Double Barrel",雙管
"Drain Ailments",汲取異常狀態
Electrocute,電刑
"Elemental Army",元素軍隊
"Elemental Focus",元素專注
"Elemental Siphon",元素虹吸
"Elemental Sundering",元素崩裂
Embitter,激怒
Encumbrance,負擔
"Energy Barrier",能量屏障
"Energy Retention",能量保留
Enervation,削弱
Enormity,巨大
"Enraged Warcry",激怒戰吼
Envenom,毒化
"Essence Harvest",精髓收割
"Eternal Flame",永恆烈焰
Excise,切除
Excoriate,痛斥
Execrate,咒怨
Execute,處刑
Expanse,廣闊區域
Expedite,疾速
"Exploit Weakness",攻其之弱
"Explosive Spear",爆炸長矛
Extraction,提取
"Fangs of Frost",刺骨寒冰
"Fast Forward",快速前進
"Feeding Frenzy",豢養狂熱
Ferocity,狂暴
Figurehead,傀儡
"Fire Exposure",火焰曝曬
"Fire Infusion",火焰灌注
"Fire Mastery",火焰專精
"Fire Penetration",火焰穿透
"Fire Spell on Hit",擊中時火焰法術
"First Blood",武器特效：浴血鬥士
"Fist of War",拳霸
Flamepierce,烈焰穿透
Flow,流動
Fluke,僥倖
"Focused Curse",專注詛咒
"Font of Blood",鮮血器皿
"Font of Mana",魔力器皿
"Font of Rage",盛怒器皿
Freezefork,冰凍之叉
"Fresh Clip",全新彈夾
"Frost Nexus",冰霜匯聚
Frostfire,霜火
"Frozen Vortex",凍結漩渦
Fusillade,聚靈之杖
Gambleshot,博弈射擊
"Glacial Lance",冰川之槍
Glaciation,急凍化
Glacier,冰河
Greatwood,大森林
Haemocrystals,血晶
"Heavy Swing",沉重揮擊
Heft,分量
"Heightened Curse",增強詛咒
Herbalism,藥草學
"Hex Bloom",咒術綻放
"Hit and Run",打帶跑
Hoarfrost,白霜
"Holy Descent",神聖血統
Hourglass,沙漏
"Ice Bite",霜咬
Icicle,冰柱
Ignition,點火
Immolate,犧牲
"Impact Shockwave",衝擊震波
"Impending Doom",末日厄運
Impetus,動力
"Inevitable Critical",必定暴擊
"Infernal Legion",煉獄軍團
"Infuse Weapon",灌注武器
Infusion,注入
Inhibitor,抑制劑
Innervate,亢奮
Inspiration,啟發
"Intense Agony",劇烈苦痛
Interlude,間歇
Invocation,祈願
Ironwood,鐵木
"Last Gasp",臨終恐息
"Lasting Shock",持續感電
Leverage,槓桿
"Life Bounty",生命恩惠
"Life Drain",生命吸取
"Life Thief",生命盜竊
Lifetap,活栓
"Lightning Exposure",閃電曝曬
"Lightning Infusion",閃電灌注
"Lightning Mastery",閃電專精
"Lightning Penetration",閃電穿透
"Lightning Spear",閃電長矛
Lockdown,封鎖
"Long Fuse",長引線
Longshot,遠程射擊
Loyalty,忠誠
Magnetism,磁力
"Magnified Effect",增幅效果
Malady,疾病
"Mana Bounty",魔力恩惠
"Manifest Weapon",幻化武器
"Martial Tempo",武術節奏
"Meat Shield",肉盾
"Minion Instability",復仇之靈
"Minion Mastery",召喚物專精
"Minion Pact",召喚物契約
Mobility,機動性
Momentum,氣勢
"Murderous Intent",殺人意圖
Muster,召集
Mysticism,秘術
Nadir,消沉
"Neural Overload",神經超載
"Nimble Reload",靈活裝填
Outmaneuver,出奇制勝
Overabundance,過剩
Overcharge,強化聚能
Overextend,過分擴張
Overpower,壓倒性力量
Payload,承載
Perfection,完美
"Perpetual Charge",永恆充能
Persistence,堅持不懈
"Physical Mastery",物理專精
Pin,標記
"Pinpoint Critical",精確暴擊
Potential,潛力
"Practiced Combo",熟練連擊
Premeditation,預謀
"Primal Armament",原始武裝
"Primal Strikes",原始打擊
Profanity,瀆神
Profusion,滿盈
"Punch Through",透勁拳
Pursuit,追擊
"Quill Burst",驟羽爆發
Rageforged,盛怒鍛造
"Raging Cry",憤怒戰吼
Rake,陰爪
Rally,集結
Reach,目光
Rearm,重新佈署
Refraction,折射
Retaliate,報復
Retort,反駁
Retreat,撤退
Reverberate,回響
"Rhoa Mount",恐喙鳥坐騎
Ricochet,彈射
Rime,霧淞
Rip,撕毀
"Rising Tempest",崛起風暴
"Ritual Sacrifice",儀式獻祭
"Ritualistic Curse",儀式詛咒
Rupture,殘破
"Rusted Spikes",銹蝕尖刺
Ruthless,殘暴
"Sacrificial Lamb",獻祭羔羊
Salvo,齊射
Scattershot,散射
"Searing Flame",燒灼烈焰
"Second Wind",恢復
"See Red",赤紅目光
"Shielding Cry",防護戰吼
"Shock Siphon",電擊虹吸
"Shocking Leap",震擊之躍
Shroud,幽影
"Single Out",單打獨鬥
"Skeletal Arsonist",骷髏縱火者
"Skeletal Brute",骷髏巨獸
"Skeletal Cleric",骷髏牧師
"Skeletal Frost Mage",骷髏霜寒法師
"Skeletal Reaver",骷髏掠奪者
"Skeletal Sniper",骷髏狙擊手
"Skeletal Storm Mage",骷髏風暴法師
"Skeletal Warrior",骷髏戰士
"Soul Drain",靈魂吸取
"Soul Thief",靈魂盜竊
Spar,打擊練習
"Spear Throw",長矛投擲
"Spear of Solaris",日耀長矛
"Spectral Volley",靈體齊射
"Spell Cascade",法術湧流
"Spell Echo",法術迴響
Splinter,碎骨
"Spreading Frost",擴散寒冰
Steadfast,穩若泰山
"Stomping Ground",重踏地面
"Storm Lance",風暴之槍
Stormchain,風暴之鏈
Stormfire,烈風暴
"Strip Away",剝奪
"Strong Hearted",不屈之心
Suffuse,瀰漫
Supercritical,超暴擊
"Supporting Fire",支援火力
"Swift Affliction",極速苦痛
Syzygy,朔望
"Tame Beast",馴獸
Tear,撕裂
"Temper Weapon",鍛鍊武器
Thornskin,荊棘之皮
"Thundergod's Wrath",雷神之怒
"Thunderous Leap",雷霆跳躍
Tireless,孜孜不倦
"Trail of Caltrops",蒺藜之徑
Tremors,威震
Trinity,三相
Tumult,紛亂
Twofold,雙重
Unabating,勢頭不減
Unbending,永不屈服
Unbreakable,堅不可破
Undermine,破壞
"Unerring Power",精準力量
"Unsteady Tempo",不穩節奏
Untouchable,無法觸碰
Unyielding,屹立不搖
Upheaval,動亂
Upwelling,湧升流
Verglas,冰淞
"Volatile Power",不穩定的力量
"Volcanic Eruption",火山迸發
Volt,電壓
"Warm Blooded",滿腔熱血
"Whirlwind Lance",旋風之槍
Wildshards,野性碎片
"Wind Serpent's Fury",勁風蝮蛇之怒
"Window of Opportunity",機會之窗
"Withering Touch",凋零之觸
Zenith,極盛之尊
"Abyssal Apparition",深淵幻象
"Acidic Concoction",酸性靈藥
"Black Powder Blitz",火藥疾行
"Bloodhound's Mark Explosion",鮮血獵犬印記爆炸
"Bone Shrapnel Explosion",骨片爆炸
Brambles,荊棘
"Bursting Fen Toad",爆發沼地蟾蜍
"Called Shots",預告射擊
"Cast on Elemental Ailment",元素異常狀態時施放
"Chaotic Surge",混沌波動
"Compose Requiem",安魂之奏
"Crackling Palm",閃光掌
Crater,隕石坑
"Cull the Weak",撲殺弱者
"Curse on Block",格擋時詛咒
"Death From Above",死從天降
"Doedre's Dark Design",德瑞的黑暗謀略
"Elemental Surge",元素波動
"Enervating Nova",超能新星
"Fire Spell on Melee Hit",近戰擊中時火焰法術
"Flame Pillar",火炎之柱
"Forge Hammer",鍛造之錘
"Fortifying Cry",堅韌之吼
"Frost Darts",寒霜之鏢
Fulmination,劇烈爆發
Future-Past,未來昔日
"Gemini Surge",雙靈波動
"Grim Resurrection",冷酷復活
"Grisly Pyre",恐怖燃焰
"Heart of Ice",冰雪之心
"His Dark Horizon",他的黑暗視界
"His Foul Emergence",他的惡臭降臨
"His Grave Command",他的緊急命令
"His Scattering Calamity",他的散布災禍
"His Vile Intrusion",他的惡毒入侵
"His Winnowing Flame",他的飛舞烈焰
"Ice Armour",寒冰護甲
"Ice Fragments",寒冰碎片
"Ice-Tipped Arrows",冰鏃箭矢
Impurity,不淨
"Inevitable Agony",命定苦痛
"Iron Ward",鋼鐵守護
"Lightless Stalker",黯光懼靈
"Living Bolt",復甦弩箭
"Living Lightning",活躍閃電
"Mark as prey",標記為獵物
"Mirage Archer",幻影射手
"Mortar Cannon",迫擊砲
Parry,招架
"Phantasmal Arrow",幻影箭矢
"Pinnacle of Power",力量巔峰
Projectile,投射物
"Ravenous Swarm",貪婪蟲群
Requiem,安魂曲
"Runic Tempering",符文冶鍊
"Scorching Cleave",灼燒劈砍
"Set Shark Bait",設為鯊魚餌
"Shattering Roar",粉碎咆哮
"Shield Wave",盾之波動
"Siphon Elements",虹吸元素
"Skittering Stone",飛掠之石
Snap,迸裂
"Tawhoa's Vengeance",塔赫亞的復仇
"Toggle Mount Minion",切換騎乘召喚物
"Toxic Domain",毒素領域
"Triggered Caustic Cloud",觸發腐蝕之雲
"Valako's Charge",瓦拉庫的衝鋒
"Void Illusion",虛空幻影
"Volcanic Steps",熔火步伐
"Arm Whack",手臂揮擊
"Bladefall of Trarthus",特拉特斯虛空刀雨
"Blast Rain of Trarthus",特拉特斯爆裂箭雨
"Call the Pyre",炎葬之喚
"Chain Hook of Trarthus",特拉特斯奪魂勾索
"Command Graft",號令接肢
Conflagration,燎原箭矢
"Dance in the White",白中之舞
"Dark Pact of Trarthus",特拉特斯暗夜血契
"Enervating Grasp",虛弱之握
"Falling Crystals",碎晶墜落
"Glowing Silhouette",閃爍剪影
"Heart of Flame",烈炎之心
"Heavy Strike of Trarthus",特拉特斯沉重之擊
"Herald of the Hive",巢裔之捷
"His Burning Message",他的焚炎句語
Icicles,碎霜彈幕
"Ignition Blast",燃炎爆
"Kinetic Anomaly",力量反常
"Kinetic Flux",力量流束
"Kinetic Fusillade",力量猛射
"Kinetic Rain",力量驟雨
"Kinetic Rain of Impact",力量驟雨．衝擊
"Living Lightning Zap",活躍閃電電擊
"Memory of Desire",渴望的記憶
"Memory of Disbelief",不信的記憶
"Memory of Familiarity",親近的記憶
"Memory of Impatience",急躁的記憶
"Memory of Impulsiveness",衝動的記憶
"Memory of Mocking",嘲諷的記憶
"Memory of Panic",恐慌的記憶
"Memory of Suspicion",懷疑的記憶
"Misty Reflection",迷霧映射
"Order: To me!",命令：過來！
"Overcharged Sinews",過載筋腱
"Preserving Stillness",靜守不移
"Return to Dust",回歸塵土
"Seize the Flesh",肉身奪取
"Shaper's Despair",塑界者的絕望
"Shaper's Devastation",塑界者的毀滅
"Shaper's Ire",塑界者的憤怒
"Siege Ballista of Trarthus",特拉特斯攻城炮台
"Somatic Shell",心靈壁壘
"Spectral Helix of Trarthus",特拉特斯靈體旋武
"Spectral Shield Throw of Trarthus",特拉特斯盾靈投擲
"Spectral Throw of Trarthus",特拉特斯靈體投擲
Starfall,星空殞落
"Storm Call of Trarthus",特拉特斯風暴呼喚
"Summon Living Lightning",召喚活躍閃電
"Summon Shaper Memory",召喚塑界者的記憶
"Summon Spectral Tiger",召喚幽靈虎
"Summon Visiting Harbinger of Focus",召喚來訪的專注神諭
"Summon Visiting Harbinger of the Arcane",召喚來訪的秘能神諭
"Summon Visiting Harbinger of Time",召喚來訪的時間神諭
"Summon Void Spawn",召喚虛空幼蟲
"Sunder of Trarthus",特拉特斯大地震擊
"Tender Embrace",慈愛之擁
"The Great Avalanche",浩劫雪崩
"The Grey Wind Howls",灰風咆嘯
Thunderburst,雷霆爆裂
Thunderstorm,天雷暴雨
"Violent Desire",暴力渴望
"Wall of Force",力量之壁
"Ward Shatter",保護碎裂
"Wave of Conviction of Trarthus",特拉特斯信念浪湧
"Will of the Lords",君主意志
Windburst,風破
"Wreathed in Light",光暈纏繞
"Accelerated Growth",飛速生長
"Align Fate",命運同調
Annihilation,湮滅
Apocalypse,壞滅災變
"Arctic Howl",極地狂嚎
Briarpatch,荊棘叢
"Cackling Companions",奸笑鬣狗群
"Catalysing Discharge",催化解放
"Crash Lightning",雷殞
"Creeping Chill",寒冰蔓延
"Cross Slash",縱橫劈斬
"Deadly Resolve",致死決意
Devour,吞噬
Electromagnetism,磁化電極
"Empowered Sparks",強化電球
Entangle,纏結
"Eternal Rage",無盡怒火
"Fan the Flames",灼炎扇舞
"Feral Invocation",野性祈求
"Fiery Reclamation",燃炎回收
"Fury of the Mountain",山嶺之怒
Hailstorm,冰雹
"Kelari's Brutality",克拉里的殘酷
"Kelari's Deception",克拉里的欺瞞
"Kelari's Judgment",克拉里的審判
"Kelari's Malediction",克拉里的惡言
"Kelari, the Tainted Sands",黯染飛砂．克拉里
"Lunar Assault",月光突襲
"Lunar Blessing",月光賜福
Meteor,隕石
Meteors,隕石群
"Mirage Deadeye",幻影銳眼
"Mirror of Refraction",鏡面折射
"Molten Crash",熔岩破滅
"Moment of Vulnerability",可趁之刻
Moonbeam,映月光束
"Navira's Calming",納維拉的平撫
"Navira's Embrace",納維拉的擁抱
"Navira's Fracturing",納維拉的封凍
"Navira's Oasis",納維拉的綠洲
"Navira's Well",納維拉的水井
"Navira, the Last Mirage",最終幻象．納維拉
"Oil Barrage",黏油轟擊
"Poison Spores",劇毒孢子
Pounce,猛撲
"Predator's Mark",掠食者印記
"Primal Avatar",荒野化身
Rend,撕扯
"Ruzhan's Brand",魯兹安的烙印
"Ruzhan's Fury",魯兹安的怒火
"Ruzhan's Reckoning",魯兹安的清算
"Ruzhan's Trap",魯兹安的陷阱
"Ruzhan's Zealotry",魯兹安的狂熱
"Ruzhan, the Blazing Sword",赤炎利劍．魯兹安
Sandblast,黃沙爆破
"Savage Fury",殘猛怒氣
