"Nailed Fist",拳釘
"Pointed Maul",尖銳重錘
"Totemic Greatclub",圖騰巨棍棒
Greatmace,巨釘錘
"Precise Greathammer",精準巨錘
"Giant Maul",巨型重錘
"Advanced Oak Greathammer",進階橡木巨錘
"Advanced Forge Maul",進階鍛造重錘
"Advanced Cultist Greathammer",進階教徒巨錘
"Advanced Temple Maul",進階神殿重錘
"Advanced Leaden Greathammer",進階麻木巨錘
"Advanced Crumbling Maul",進階崩毀重錘
"Expert Forge Maul",專家鍛造重錘
"Expert Temple Maul",專家神殿重錘
"Expert Oak Greathammer",專家橡木巨錘
"Expert Cultist Greathammer",專家教徒巨錘
"Expert Crumbling Maul",專家崩毀重錘
"Expert Leaden Greathammer",專家麻木巨錘
"Rattling Sceptre",雜響權杖
"Stoic Sceptre",魔道權杖
"Lupine Sceptre",兇殘權杖
"Omen Sceptre",徵兆權杖
"Shrine Sceptre",神殿權杖
"Devouring Sceptre",吞噬權杖
"Clasped Sceptre",握扣權杖
"Devotional Sceptre",虔誠權杖
"Wrath Sceptre",暴怒權杖
"Aromatic Sceptre",芳香權杖
"Pious Sceptre",敬神權杖
"Hallowed Sceptre",聖潔權杖
"Wrapped Quarterstaff",纏繞細杖
"Long Quarterstaff",加長細杖
"Gothic Quarterstaff",歌德細杖
"Crackling Quarterstaff",裂紋細杖
"Crescent Quarterstaff",新月細杖
"Steelpoint Quarterstaff",鋼尖細杖
"Slicing Quarterstaff",斬割細杖
"Barrier Quarterstaff",屏障細杖
"Hefty Quarterstaff",堅固細杖
"Smooth Quarterstaff",平滑細杖
"Anima Quarterstaff",靈魂細杖
"Graceful Quarterstaff",優雅細杖
"Wyrm Quarterstaff",蠕蟲細杖
"Advanced Long Quarterstaff",進階加長細杖
"Advanced Gothic Quarterstaff",進階歌德細杖
"Advanced Crackling Quarterstaff",進階裂紋細杖
"Advanced Crescent Quarterstaff",進階新月細杖
"Advanced Slicing Quarterstaff",進階斬割細杖
"Advanced Barrier Quarterstaff",進階屏障細杖
"Expert Gothic Quarterstaff",專家歌德細杖
"Expert Crescent Quarterstaff",專家新月細杖
"Expert Long Quarterstaff",專家加長細杖
"Expert Crackling Quarterstaff",專家裂紋細杖
"Expert Barrier Quarterstaff",專家屏障細杖
"Expert Slicing Quarterstaff",專家斬割細杖
"Hardwood Spear",硬木長矛
"Ironhead Spear",鐵木長矛
"Hunting Spear",狩獵長矛
"Winged Spear",羽翅長矛
"War Spear",戰爭長矛
"Forked Spear",叉狀長矛
"Barbed Spear",鉤刺長矛
"Broad Spear",闊刃長矛
"Crossblade Spear",十字刃長矛
"Seaglass Spear",海玻璃長矛
"Sword Spear",劍刃長矛
"Striking Spear",突擊長矛
"Helix Spear",螺旋長矛
"Makeshift Crossbow",臨時十字弓
"Tense Crossbow",緊繃十字弓
"Sturdy Crossbow",堅固十字弓
"Varnished Crossbow",亮漆十字弓
"Dyad Crossbow",雙生十字弓
"Alloy Crossbow",合金十字弓
"Bombard Crossbow",轟擊十字弓
"Construct Crossbow",絕命十字弓
"Blackfire Crossbow",黑火十字弓
"Piercing Crossbow",穿刺十字弓
"Cumbrous Crossbow",笨重十字弓
"Dedalian Crossbow",精巧十字弓
"Esoteric Crossbow",秘傳十字弓
"Advanced Tense Crossbow",進階緊緻十字弓
"Advanced Sturdy Crossbow",進階堅固十字弓
"Advanced Varnished Crossbow",進階亮漆十字弓
"Advanced Dyad Crossbow",進階成對十字弓
"Advanced Bombard Crossbow",進階轟炸十字弓
"Advanced Forlorn Crossbow",進階絕命十字弓
"Expert Sturdy Crossbow",專家堅固十字弓
"Expert Varnished Crossbow",專家亮漆十字弓
"Expert Tense Crossbow",專家緊緻十字弓
"Expert Dyad Crossbow",專家成對十字弓
"Expert Bombard Crossbow",專家轟炸十字弓
"Expert Forlorn Crossbow",專家絕命十字弓
"Splintered Flail",分裂鏈錘
"Chain Flail",鎖鏈鏈錘
"Holy Flail",神聖鏈錘
"Iron Flail",鋼鐵鏈錘
"Twin Flail",雙生鏈錘
"Slender Flail",纖細鏈錘
"Stone Flail",岩石鏈錘
"Ring Flail",圓環鏈錘
"Guarded Flail",警惕鏈錘
"Icicle Flail",冰錐鏈錘
"Tearing Flail",撕裂鏈錘
"Great Flail",大型鏈錘
"Abyssal Flail",深淵鏈錘
"Clay Trap",黏土陷阱
"Clamping Trap",猛夾陷阱
"Shrapnel Trap",彈片陷阱
"Urn Trap",甕陷阱
"Incense Trap",香爐陷阱
"Bladed Trap",刀刃陷阱
"Dart Trap",飛鏢陷阱
"Spike Trap",尖刺陷阱
"Coiled Trap",纏繞陷阱
"Lead Trap",誘導陷阱
"Medallion Trap",獎章陷阱
"Intricate Trap",複雜陷阱
"Refined Trap",精製陷阱
"Daevata's Wind",德瓦塔之風
"The Endless Night",無盡之夜
"Winter's Bite",寒冬嚙蝕
"Wylund's Stake",威倫德的木樁
Hoghunt,獵豬
"Dusk Vigil",暗暮守夜
"Sanguine Diviner",血色聖者
"Enezun's Charge",艾尼尊的衝鋒
"Falling Snow",落雪
Ironbound,鐵縛者
Splinterheart,裂心
"Dealer's Hand",商人之手
"Mist Whisper",迷霧低語者
"Rampart Raptor",壁壘猛禽
Olrovasara,歐洛瓦沙拉
"Brynhand's Mark",布林漢的印記
"Pulpit Pulper",講壇絞碎機
Trenchtimbre,壕溝之音
"Sculpted Suffering",雕刻苦難
"Seeing Stars",見證群星
Goldshaper,塑金者
Bluetongue,藍舌
"The Sentry",哨兵
Matsya,摩蹉
"Nazir's Judgement",納齊爾的審判
"Rhea's Rhythm",蕾亞的旋律
"Font of Power",力量水晶塔
Heartseeker,刺心者
Earthbound,地縛者
Grimgrasp,陰鬱之握
Trephina,崔非那
"The Empty Roar",空洞怒吼
Shyaba,沙阿巴
"The Wicked Quill",邪惡羽毛
"Rod of Enervation",衰弱之杖
"The Dark Defiler",黑暗玷汙者
"Collapsing Horizon",崩塌的地平線
"Sacred Flame",神聖烈焰
"Guiding Palm",引導之掌
Skysliver,天銀
INCOMPLETE,未完成
"Splinter of Loratta",蘿拉塔裂片
"Solar Lance",日耀長槍
"Kalguuran Forgehammer",卡爾葛鍛造錘
"Calescent Hammer",升溫之錘
"Flared Mace",閃光之錘
"Battle Pick",戰鬥鎬
"Marching Mace",行軍之錘
"Bandit Mace",盜賊之錘
"Structured Hammer",建構之錘
"Crown Mace",皇冠之錘
"Molten Hammer",熔火之錘
"Strife Pick",鬥爭鎬
"Fortified Hammer",強化之錘
"Marauding Mace",劫掠之錘
"Akoyan Club",艾古亞棍棒
"Snakewood Shortbow",蛇木短弓
"Protector Bow",保衛者之弓
"Rider Bow",騎士之弓
"Twin Bow",雙生之弓
"Adherent Bow",信徒之弓
"Militant Bow",好戰者之弓
"Ironwood Shortbow",鐵木短弓
"Cavalry Bow",騎兵之弓
"Guardian Bow",防衛者之弓
"Gemini Bow",雙子之弓
"Fanatic Bow",盲信之弓
"Warmonger Bow",狂戰者之弓
"Obliterator Bow",毀滅者之弓
"Sanctified Staff",神化長杖
"Ravenous Staff",貪婪長杖
"Permafrost Staff",永凍長杖
"Snakewood Greathammer",蛇木巨錘
"Blacksmith Maul",鐵匠重錘
"Zealot Greathammer",狂熱巨錘
"Solemn Maul",莊嚴重錘
"Heavy Greathammer",重型巨錘
"Disintegrating Maul",崩解重錘
"Anvil Maul",鐵砧重錘
"Sacred Maul",神聖重錘
"Ironwood Greathammer",鐵木巨錘
"Fanatic Greathammer",盲信巨錘
"Ruination Maul",毀滅重錘
"Massive Greathammer",巨型巨錘
"Tawhoan Greatclub",塔赫亞巨棍棒
"Reaching Quarterstaff",延伸細杖
"Barbarous Quarterstaff",野蠻細杖
"Arcing Quarterstaff",電弧細杖
"Waxing Quarterstaff",白蠟細杖
"Bladed Quarterstaff",帶刃細杖
"Guardian Quarterstaff",守護細杖
"Sinister Quarterstaff",邪惡細杖
"Lunar Quarterstaff",月神細杖
"Striking Quarterstaff",打擊細杖
"Bolting Quarterstaff",雷霆細杖
"Aegis Quarterstaff",神禦細杖
"Razor Quarterstaff",剃刃細杖
"Dreaming Quarterstaff",夢境細杖
"Steelhead Spear",鋼尖長矛
"Coursing Spear",追獵長矛
"Swift Spear",迅疾長矛
"Branched Spear",分支長矛
"Jagged Spear",鋸齒長矛
"Massive Spear",巨型長矛
"Orichalcum Spear",山銅長矛
"Pronged Spear",尖叉長矛
"Stalking Spear",潛獵長矛
"Flying Spear",翱翔長矛
"Grand Spear",宏偉長矛
"Spiked Spear",尖刺長矛
"Akoyan Spear",艾古亞長矛
"Taut Crossbow",緊繃十字弓
"Robust Crossbow",強健十字弓
"Painted Crossbow",彩繪十字弓
"Twin Crossbow",成雙十字弓
"Cannonade Crossbow",砲擊十字弓
"Bleak Crossbow",無情十字弓
"Stout Crossbow",牢固十字弓
"Engraved Crossbow",紋刻十字弓
"Flexed Crossbow",屈曲十字弓
"Gemini Crossbow",雙子十字弓
"Siege Crossbow",攻城十字弓
"Desolate Crossbow",蒼涼十字弓
"Elegant Crossbow",優雅十字弓
"Guiding Palm of the Heart",引導之掌：心
"Splinter of Lorrata",蘿拉塔裂片
"Tyranny's Grip",暴政之握
Chainsting,鏈鎖之刺
"The Hammer of Faith",信仰之錘
"Demigod's Judgement",半神的決斷
"Saitha's Spear",賽塔的長矛
"The Grand Design",宏偉設計
Windpiercer,穿風者
"Double Vision",雙重視界
"Rhoa Reaver",恐喙鳥掠奪者
"Strike of Inspiration",啟發打擊
"Spire of Ire",怒火之塔
Tangletongue,縛舌
"Courtly Discord",宮廷亂事
Cursecarver,咒刻者
"The Last Lament",臨終悲歌
"Guiding Palm of the Eye",引導之掌：眼
"Guiding Palm of the Mind",引導之掌：靈
"Adonia's Ego",艾多尼亞的自負
"Palm of the Dreamer",幻夢者之掌
"Fairgraves' Curse",費爾的詛咒
"The Unborn Lich",未誕生的巫妖
"Somatic Wand",軀體魔杖
"Blasting Wand",爆裂魔杖
"Kinetic Wand",動能魔杖
Starcaller,喚星者
"Mystic Refractor",神秘的折射器
"Cadigan's Authority",卡迪根的權威
"Legacy of the Rose",玫瑰的傳承
"Festering Resentment",潰爛怨恨
"The Grey Wind",灰風
"Wing of the Wyvern",飛龍之翼
"The Golden Charlatan",黃金詐術師
"The Monastery Bell",修道院之鐘
"Jiquani's Potential",吉卡尼的潛力
"Unlight Extant",黯光存現
"Reflecting Staff",映像之杖
"Skullcrusher Quarterstaff",碎顱細杖
"Soaring Spear",翱翔長矛
"Guardian Spear",衛者長矛
"Changeling Talisman",變形魔符
"Nettle Talisman",蕁麻魔符
"Cinderbark Talisman",灰樹皮魔符
"Familial Talisman",家族魔符
"Frenzied Talisman",狂亂魔符
"Primal Talisman",原始魔符
"Rabid Talisman",狂暴魔符
"Vicious Talisman",惡毒魔符
"Voltfang Talisman",伏特之牙魔符
"Lumbering Talisman",笨重魔符
"Roaring Talisman",咆哮魔符
"Wingbeat Talisman",振翼魔符
"Condemned Talisman",譴責魔符
"Howling Talisman",狂嚎魔符
"Fury Talisman",怒火魔符
"Cruel Talisman",殘酷魔符
"Spiny Talisman",尖錐魔符
"Ashbark Talisman",燼木魔符
"Fang Talisman",銳爪魔符
"Fungal Talisman",真菌魔符
"Alpha Talisman",統領魔符
"Maji Talisman",聖賢魔符
"Wildwood Talisman",荒林魔符
"Thunder Talisman",天雷魔符
"Jade Talisman",翠玉魔符
"Amor Mandragora",阿莫爾．曼德拉戈拉
"Fury of the King",帝王之怒
"Atziri's Contempt",阿茲里的蔑視
"Hysseg's Claw",希塞格之爪
"The Flesh Poppet",血肉傀儡
"The Sands of Time",時間之砂
Skysunder,墜天者
Fleshrender,血肉撕扯者
"The Sacred Chalice",神浸聖盃
"The Desecrated Chalice",瀆染髒盃
"The Flame of Hope",希望之焰
"The Broken Elegy",破碎輓歌
"The Bane of Hope",希望之終
