"Iron Gauntlets","철제 건틀릿"
"Tinker Gloves","땜장이 장갑"
"Apprentice Gloves","수습생 장갑"
"Trapsetter Gloves","덫꾼 장갑"
"Sage Gloves","현자 장갑"
"Warlock Gloves","마법사 장갑"
"Chimerascale Gauntlets","키메라비늘 건틀릿"
"Wyvernscale Gauntlets","비룡비늘 건틀릿"
"Martyr Gloves","순교자 장갑"
"Paladin Gloves","성기사 장갑"
"Infiltrator Mitts","잠입자 미트"
"Phantom Mitts","혼령 미트"
"Precursor Greaves","선도자 각반"
"Leviathan Greaves","레비아탄 각반"
"Harpyskin Boots","하피가죽 장화"
"Velour Boots","벨루어 장화"
"Sage Slippers","현자 슬리퍼"
"Warlock Boots","마법사 장화"
"Chimerascale Boots","키메라비늘 장화"
"Wyvernscale Boots","비룡비늘 장화"
"Martyr Boots","순교자 장화"
"Paladin Boots","성기사 장화"
"Infiltrator Boots","잠입자 장화"
"Phantom Boots","혼령 장화"
"Titan Plate","거신 판금 갑옷"
"Legion Plate","군단 판금 갑옷"
"Royal Plate","왕실 판금 갑옷"
"Supreme Leather","최고급 가죽 갑옷"
"Astral Leather","우주의 가죽 갑옷"
"Syndicate's Garb","연합의 의복"
"Arcane Vestment","비전의 법의"
"Nightweave Robe","밤의 직물 로브"
"Twilight Regalia","황혼의 예복"
"Full Wyvernscale","전체 비룡비늘 갑옷"
"Marshall's Brigandine","원수의 브리간딘"
"Conquest Lamellar","정복 라멜라"
"Grand Ringmail","우수한 고리 갑옷"
"Paladin's Hauberk","성기사의 호버크"
"Sacred Chainmail","성스러운 사슬 갑옷"
"Sanguine Raiment","핏빛 의상"
"Torturer Garb","고문자의 의복"
"Necrotic Armour","괴사의 방어구"
"General's Helmet","장군의 투구"
"Conqueror's Helmet","정복자의 투구"
"Giantslayer Helmet","거인 처형자 투구"
"Dire Pelt","지독한 가죽모"
"Grizzly Pelt","반백의 가죽모"
"Majestic Pelt","압도적인 가죽모"
"Moonlit Circlet","달빛 관"
"Sunfire Circlet","태양불 관"
"Lich's Circlet","리치의 관"
"Knight Helm","기사 투구"
"Conquest Helmet","정복 투구"
"Haunted Bascinet","으스스한 배서닛"
"Faithful Helmet","충실한 투구"
"Paladin Crown","성기사 왕관"
"Divine Crown","신성한 왕관"
"Jester Mask","어릿광대 가면"
"Ancient Mask","고대 가면"
"Torturer's Mask","고문자의 가면"
"The Trickster's Smile","협잡꾼의 미소"
Pragmatism,실용주의
"Replica Covenant","계약 모조품"
Gamblesprint,도박질주
"Replica Heatshiver","열기와 오한 모조품"
"Replica Hyrri's Ire","하이리의 노여움 모조품"
"The Celestial Brace","천공의 죔쇠"
"Ravenous Passion","굶주린 열정"
"The Hand of Phrecia","프레시아의 손"
"Veruso's Ambition","베루소의 야심"
"The Apostate",배교자
"The Devourer of Minds","정신 포식자"
"The Tempest Rising","몰려오는 폭풍"
"Admiral's Arrogance","제독의 오만"
"Kaom's Command","카옴의 명령"
"Stocky Mitts","다부진 미트"
"Riveted Mitts","고정못 미트"
"Tempered Mitts","단조한 미트"
"Bolstered Mitts","발전된 미트"
"Moulded Mitts","주조한 미트"
"Detailed Mitts","정교한 미트"
"Titan Mitts","거신 미트"
"Grand Mitts","우수한 미트"
"Suede Bracers","스웨드 팔보호구"
"Firm Bracers","굳건한 팔보호구"
"Bound Bracers","속박된 팔보호구"
"Sectioned Bracers","절개된 팔보호구"
"Spined Bracers","가시 팔보호구"
"Fine Bracers","섬세한 팔보호구"
"Hardened Bracers","굳어진 팔보호구"
"Engraved Bracers","아로새긴 팔보호구"
"Torn Gloves","찢긴 장갑"
"Sombre Gloves","암울한 장갑"
"Stitched Gloves","꿰맨 장갑"
"Jewelled Gloves","보석 박힌 장갑"
"Intricate Gloves","복잡한 장갑"
"Pauascale Gloves","파우아비늘 장갑"
"Adorned Gloves","치장된 장갑"
"Ringmail Gauntlets","고리 갑옷 건틀릿"
"Layered Gauntlets","겹겹의 건틀릿"
"Doubled Gauntlets","이중 건틀릿"
"Plate Gauntlets","판금 건틀릿"
"Burnished Gauntlets","윤이 나는 건틀릿"
"Ornate Gauntlets","화려한 건틀릿"
"Rope Cuffs","밧줄 수갑"
"Aged Cuffs","오래된 수갑"
"Goldcast Cuffs","금주물 수갑"
"Diviner Cuffs","예언자 수갑"
"Righteous Cuffs","정의로운 수갑"
"Signet Cuffs","인장 수갑"
"Gauze Wraps","거즈 싸개"
"Linen Wraps","리넨 싸개"
"Spiral Wraps","나선 싸개"
"Buckled Wraps","버클 싸개"
"Furtive Wraps","은밀한 싸개"
"Utility Wraps","특수 싸개"
"Grand Manchettes","우수한 소맷부리"
"Advanced Riveted Mitts","고급 고정못 미트"
"Advanced Tempered Mitts","고급 단조한 미트"
"Advanced Bolstered Mitts","고급 발전된 미트"
"Advanced Moulded Mitts","고급 주조한 미트"
"Advanced Firm Bracers","고급 굳건한 팔보호구"
"Advanced Bound Bracers","고급 속박된 팔보호구"
"Advanced Sectioned Bracers","고급 절개된 팔보호구"
"Advanced Spined Bracers","고급 가시 팔보호구"
"Advanced Sombre Gloves","고급 암울한 장갑"
"Advanced Stitched Gloves","고급 꿰맨 장갑"
"Advanced Jewelled Gloves","고급 보석 박힌 장갑"
"Advanced Intricate Gloves","고급 복잡한 장갑"
"Advanced Ringmail Gauntlets","고급 고리 갑옷 건틀릿"
"Advanced Layered Gauntlets","고급 겹겹의 건틀릿"
"Advanced Doubled Gauntlets","고급 이중 건틀릿"
"Advanced Rope Cuffs","고급 밧줄 수갑"
"Advanced Aged Cuffs","고급 오래된 수갑"
"Advanced Goldcast Cuffs","고급 금주물 수갑"
"Advanced Gauze Wraps","고급 거즈 싸개"
"Advanced Linen Wraps","고급 리넨 싸개"
"Advanced Spiral Wraps","고급 나선 싸개"
"Expert Riveted Mitts","전문 고정못 미트"
"Expert Bolstered Mitts","전문 발전된 미트"
"Expert Moulded Mitts","전문 주조한 미트"
"Expert Firm Bracers","전문 굳건한 팔보호구"
"Expert Sectioned Bracers","전문 절개된 팔보호구"
"Expert Spined Bracers","전문 가시 팔보호구"
"Expert Sombre Gloves","전문 암울한 장갑"
"Expert Jewelled Gloves","전문 보석 박힌 장갑"
"Expert Intricate Gloves","전문 복잡한 장갑"
"Expert Ringmail Gauntlets","전문 고리 갑옷 건틀릿"
"Expert Layered Gauntlets","전문 겹겹의 건틀릿"
"Expert Doubled Gauntlets","전문 이중 건틀릿"
"Expert Rope Cuffs","전문 밧줄 수갑"
"Expert Aged Cuffs","전문 오래된 수갑"
"Expert Goldcast Cuffs","전문 금주물 수갑"
"Expert Gauze Wraps","전문 거즈 싸개"
"Expert Linen Wraps","전문 리넨 싸개"
"Expert Spiral Wraps","전문 나선 싸개"
"Rough Greaves","거친 각반"
"Bronze Greaves","청동 각반"
"Trimmed Greaves","다듬은 각반"
"Stone Greaves","돌 각반"
"Reefsteel Greaves","암초강철 각반"
"Monument Greaves","기념비 각반"
"Totemic Greaves","토템의 각반"
"Laced Boots","레이스 장화"
"Embossed Boots","양각 무늬 장화"
"Steeltoe Boots","강철코 장화"
"Lizardscale Boots","도마뱀비늘 장화"
"Flared Boots","번쩍이는 장화"
"Leatherplate Boots","가죽판금 장화"
"Embroidered Boots","수놓은 장화"
"Straw Sandals","짚 샌들"
"Wrapped Sandals","싸맨 샌들"
"Lattice Sandals","격자 샌들"
"Feathered Sandals","깃털 샌들"
"Flax Sandals","아마 샌들"
"Studded Sandals","징 박힌 샌들"
"Elaborate Sandals","정교한 샌들"
"Mail Sabatons","사슬 발 덮개"
"Braced Sabatons","죔쇠 발 덮개"
"Stacked Sabatons","중첩된 발 덮개"
"Covered Sabatons","덮인 발 덮개"
"Flexile Sabatons","유연한 발 덮개"
"Bold Sabatons","대담한 발 덮개"
"Padded Leggings","패드 레깅스"
"Secured Leggings","보안 레깅스"
"Pelt Leggings","털가죽 레깅스"
"Weaver Leggings","직공 레깅스"
"Gilt Leggings","금빛 레깅스"
"Pious Leggings","경건한 레깅스"
"Frayed Shoes","흐트러진 신발"
"Threaded Shoes","실타래 신발"
"Hunting Shoes","사냥용 신발"
"Steelpoint Shoes","강철침 신발"
"Velour Shoes","벨루어 신발"
"Bladed Shoes","톱날 신발"
"Grand Cuisses","우수한 허벅지 방어구"
"Advanced Iron Greaves","고급 철제 각반"
"Advanced Bronze Greaves","고급 청동 각반"
"Advanced Trimmed Greaves","고급 다듬은 각반"
"Advanced Stone Greaves","고급 돌 각반"
"Advanced Laced Boots","고급 레이스 장화"
"Advanced Embossed Boots","고급 양각 무늬 장화"
"Advanced Steeltoe Boots","고급 강철코 장화"
"Advanced Lizardscale Boots","고급 도마뱀비늘 장화"
"Advanced Wrapped Sandals","고급 싸맨 샌들"
"Advanced Lattice Sandals","고급 격자 샌들"
"Advanced Silk Slippers","고급 실크 슬리퍼"
"Advanced Feathered Sandals","고급 깃털 샌들"
"Advanced Mail Sabatons","고급 사슬 발 덮개"
"Advanced Braced Sabatons","고급 죔쇠 발 덮개"
"Advanced Stacked Sabatons","고급 중첩된 발 덮개"
"Advanced Padded Leggings","고급 패드 레깅스"
"Advanced Secured Leggings","고급 보안 레깅스"
"Advanced Pelt Leggings","고급 가죽모 레깅스"
"Advanced Frayed Shoes","고급 흐트러진 신발"
"Advanced Threaded Shoes","고급 실타래 신발"
"Advanced Hunting Shoes","고급 사냥용 신발"
"Expert Iron Greaves","전문 철제 각반"
"Expert Trimmed Greaves","전문 다듬은 각반"
"Expert Stone Greaves","전문 돌 각반"
"Expert Laced Boots","전문 레이스 장화"
"Expert Steeltoe Boots","전문 강철코 장화"
"Expert Lizardscale Boots","전문 도마뱀비늘 장화"
"Expert Wrapped Sandals","전문 싸맨 샌들"
"Expert Silk Slippers","전문 실크 슬리퍼"
"Expert Feathered Sandals","전문 깃털 샌들"
"Expert Mail Sabatons","전문 사슬 발 덮개"
"Expert Braced Sabatons","전문 죔쇠 발 덮개"
"Expert Stacked Sabatons","전문 중첩된 발 덮개"
"Expert Padded Leggings","전문 패드 레깅스"
"Expert Secured Leggings","전문 보안 레깅스"
"Expert Pelt Leggings","전문 가죽모 레깅스"
"Expert Frayed Shoes","전문 흐트러진 신발"
"Expert Threaded Shoes","전문 실타래 신발"
"Expert Hunting Shoes","전문 사냥용 신발"
"Rusted Cuirass","녹슨 흉갑"
"Fur Plate","모피 판금 갑옷"
"Iron Cuirass","철 흉갑"
"Raider Plate","레이더 판금 갑옷"
"Maraketh Cuirass","마라케스 흉갑"
"Steel Plate","강철 판금 갑옷"
"Vaal Cuirass","바알 흉갑"
"Juggernaut Plate","거수 판금 갑옷"
"Chieftain Cuirass","치프틴 흉갑"
"Champion Cuirass","챔피언 흉갑"
"Conqueror Plate","정복자 판금 갑옷"
"Abyssal Cuirass","심연의 흉갑"
"Leather Vest","가죽 조끼"
"Quilted Vest","누비 조끼"
"Pathfinder Coat","패스파인더 외투"
"Shrouded Vest","연막의 조끼"
"Rhoahide Coat","로아가죽 외투"
"Studded Vest","징 박힌 조끼"
"Scout's Vest","정찰병의 조끼"
"Serpentscale Coat","뱀 비늘 외투"
"Corsair Vest","해적 조끼"
"Smuggler Coat","밀수범 외투"
"Strider Vest","질주자 조끼"
"Hardleather Coat","경화가죽 외투"
"Exquisite Vest","정교한 조끼"
"Mail Coat","사슬 외투"
"Armoured Vest","장갑을 두른 조끼"
"Tattered Robe","조각난 로브"
"Feathered Robe","깃털 로브"
"Hexer's Robe","사술사의 로브"
"Bone Raiment","뼈 의복"
"Keth Raiment","케스 의복"
"Votive Raiment","봉헌된 의복"
"Altar Robe","제단 로브"
"Elementalist Robe","엘리멘탈리스트 로브"
"Mystic Raiment","신비한 의복"
"Imperial Robe","제국 로브"
"Plated Raiment","판금 의복"
"Havoc Raiment","혼란의 의복"
"Enlightened Robe","계몽의 로브"
"Arcane Robe","비전 로브"
"Chain Mail","사슬 갑옷"
"Rogue Armour","악한 방어구"
"Vagabond Armour","방랑자 방어구"
"Cloaked Mail","은폐 사슬옷"
"Explorer Armour","탐험가 방어구"
"Scale Mail","미늘 갑옷"
"Knight Armour","기사 방어구"
"Ancestral Mail","선대의 사슬옷"
"Lamellar Mail","라멜라 사슬옷"
"Gladiator Armour","검투사 방어구"
"Heroic Armour","영웅의 방어구"
"Tournament Mail","토너먼트 사슬옷"
"Slayer Armour","처형자 방어구"
"Pilgrim Vestments","순례자 법의"
"Pelt Mantle","털가죽 외투"
"Mail Vestments","사슬 법의"
"Shaman Mantle","주술사 외투"
"Ironclad Vestments","철갑 법의"
"Sacrificial Mantle","희생의 외투"
"Cleric Vestments","성직자 법의"
"Tideseer Mantle","파도예견자 외투"
"Gilded Vestments","도금된 법의"
"Venerated Mantle","공경받는 외투"
"Revered Vestments","존경받는 법의"
"Corvus Mantle","까마귀 외투"
"Zenith Vestments","북극성 법의"
"Hermit Garb","은자 의복"
"Waxed Jacket","밀랍재질 재킷"
"Marabout Garb","도사 의복"
"Wayfarer Jacket","나그네 재킷"
"Anchorite Garb","은둔자 의복"
"Scalper's Jacket","두피수집가의 재킷"
"Scoundrel Jacket","불한당 재킷"
"Ascetic Garb","고행자 의복"
"Clandestine Jacket","은밀한 재킷"
"Monastic Garb","수도원 의복"
"Torment Jacket","고통 재킷"
"Devout Garb","헌신자 의복"
"Assassin Garb","암살자 의복"
Garment,옷
"Grand Regalia","우수한 예복"
"Advanced Fur Plate","고급 모피 판금 갑옷"
"Advanced Iron Cuirass","고급 철 흉갑"
"Advanced Maraketh Cuirass","고급 마라케스 흉갑"
"Advanced Steel Plate","고급 강철 판금 갑옷"
"Advanced Full Plate","고급 전신 판금 갑옷"
"Advanced Vaal Cuirass","고급 바알 흉갑"
"Advanced Quilted Vest","고급 누비 조끼"
"Advanced Pathfinder Coat","고급 패스파인더 외투"
"Advanced Rhoahide Coat","고급 로아가죽 외투"
"Advanced Studded Vest","고급 징 박힌 조끼"
"Advanced Scout's Vest","고급 정찰병의 조끼"
"Advanced Serpentscale Coat","고급 뱀 비늘 외투"
"Advanced Feathered Robe","고급 깃털 로브"
"Advanced Hexer's Robe","고급 사술사의 로브"
"Advanced Silk Robe","고급 실크 로브"
"Advanced Keth Raiment","고급 케스 의복"
"Advanced Votive Raiment","고급 봉헌된 의복"
"Advanced Altar Robe","고급 제단 로브"
"Advanced Chain Mail","고급 사슬 갑옷"
"Advanced Rogue Armour","고급 악한 방어구"
"Advanced Vagabond Armour","고급 방랑자 방어구"
"Advanced Cloaked Mail","고급 은폐 사슬옷"
"Advanced Explorer Armour","고급 탐험가 방어구"
"Advanced Scale Mail","고급 미늘 갑옷"
"Advanced Pilgrim Vestments","고급 순례자 법의"
"Advanced Pelt Mantle","고급 가죽모 외투"
"Advanced Mail Vestments","고급 사슬 법의"
"Advanced Shaman Mantle","고급 주술사 외투"
"Advanced Ironclad Vestments","고급 철갑 법의"
"Advanced Sacrificial Mantle","고급 희생의 외투"
"Advanced Hermit Garb","고급 은자 의복"
"Advanced Waxed Jacket","고급 밀랍재질 재킷"
"Advanced Marabout Garb","고급 도사 의복"
"Advanced Wayfarer Jacket","고급 나그네 재킷"
"Advanced Anchorite Garb","고급 은둔자 의복"
"Advanced Scalper's Jacket","고급 두피수집가의 재킷"
"Expert Iron Cuirass","전문 철 흉갑"
"Expert Steel Plate","전문 강철 판금 갑옷"
"Expert Vaal Cuirass","전문 바알 흉갑"
"Expert Pathfinder Coat","전문 패스파인더 외투"
"Expert Studded Vest","전문 징 박힌 조끼"
"Expert Serpentscale Coat","전문 뱀 비늘 외투"
"Expert Hexer's Robe","전문 사술사의 로브"
"Expert Keth Raiment","전문 케스 의복"
"Expert Altar Robe","전문 제단 로브"
"Expert Rogue Armour","전문 악한 방어구"
"Expert Cloaked Mail","전문 은폐 사슬옷"
"Expert Scale Mail","전문 미늘 갑옷"
"Expert Pelt Mantle","전문 가죽모 외투"
"Expert Shaman Mantle","전문 주술사 외투"
"Expert Sacrificial Mantle","전문 희생의 외투"
"Expert Waxed Jacket","전문 밀랍재질 재킷"
"Expert Wayfarer Jacket","전문 나그네 재킷"
"Expert Scalper's Jacket","전문 두피수집가의 재킷"
"Rusted Greathelm","녹슨 대헬름"
"Soldier Greathelm","병사 대헬름"
"Wrapped Greathelm","싸맨 대헬름"
"Spired Greathelm","첨탑 대헬름"
"Elite Greathelm","정예병 대헬름"
"Warrior Greathelm","전사 대헬름"
"Commander Greathelm","지휘관 대헬름"
"Fierce Greathelm","흉악한 대헬름"
"Dueling Greathelm","결투 대헬름"
"Goliath Greathelm","골리앗 대헬름"
"Guardian Greathelm","수호병 대헬름"
"Shabby Hood","허름한 두건"
"Felt Cap","펠트 모자"
"Lace Hood","레이스 두건"
"Swathed Cap","뒤덮인 모자"
"Viper Cap","독사 모자"
"Corsair Cap","해적 모자"
"Leatherbound Hood","가죽묶음 두건"
"Velvet Cap","벨벳 모자"
"Covert Hood","은밀한 두건"
"Armoured Cap","장갑을 두른 모자"
"Twig Circlet","잔가지 관"
"Wicker Tiara","고리버들 티아라"
"Beaded Circlet","구슬 관"
"Chain Tiara","사슬 티아라"
"Feathered Tiara","깃털 티아라"
"Gold Circlet","황금 관"
"Coral Circlet","산호 관"
"Jade Tiara","비취 티아라"
"Noble Circlet","귀족 관"
"Twilight Tiara","황혼 티아라"
"Magus Tiara","신관 티아라"
"Brimmed Helm","챙 헬름"
"Guarded Helm","보호받는 헬름"
"Visored Helm","차양 단 헬름"
"Cowled Helm","고깔 헬름"
"Shielded Helm","차폐 헬름"
"Closed Helm","폐쇄형 헬름"
"Decorated Helm","장식된 헬름"
"Gallant Helm","용맹한 헬름"
"Iron Crown","철 왕관"
"Horned Crown","뿔 달린 왕관"
"Cultist Crown","광신자 왕관"
"Martyr Crown","순교자 왕관"
"Heavy Crown","무거운 왕관"
"Spiritbone Crown","혼백뼈 왕관"
"Lavish Crown","아낌없는 왕관"
"Templar Crown","템플러 왕관"
"Hewn Mask","깎아낸 가면"
"Face Mask","얼굴 가면"
"Hooded Mask","두건 가면"
"Veiled Mask","장막 가면"
"Tribal Mask","부족 가면"
"Solid Mask","단단한 가면"
"Shaded Mask","그늘 가면"
"Death Mask","죽음 가면"
"Grand Visage","우수한 얼굴"
"Advanced Rusted Greathelm","고급 녹슨 대헬름"
"Advanced Soldier Greathelm","고급 병사 대헬름"
"Advanced Wrapped Greathelm","고급 싸맨 대헬름"
"Advanced Spired Greathelm","고급 첨탑 대헬름"
"Advanced Elite Greathelm","고급 정예병 대헬름"
"Advanced Shabby Hood","고급 허름한 두건"
"Advanced Felt Cap","고급 펠트 모자"
"Advanced Lace Hood","고급 레이스 두건"
"Advanced Swathed Cap","고급 뒤덮인 모자"
"Advanced Hunter Hood","고급 사냥꾼 두건"
"Advanced Twig Circlet","고급 잔가지 관"
"Advanced Wicker Tiara","고급 고리버들 티아라"
"Advanced Beaded Circlet","고급 구슬 관"
"Advanced Chain Tiara","고급 사슬 티아라"
"Advanced Feathered Tiara","고급 깃털 티아라"
"Advanced Brimmed Helm","고급 챙 헬름"
"Advanced Guarded Helm","고급 보호받는 헬름"
"Advanced Visored Helm","고급 차양 헬름"
"Advanced Cowled Helm","고급 고깔 헬름"
"Advanced Shielded Helm","고급 방패 방어 헬름"
"Advanced Iron Crown","고급 철 왕관"
"Advanced Horned Crown","고급 뿔 달린 왕관"
"Advanced Cultist Crown","고급 광신자 왕관"
"Advanced Martyr Crown","고급 순교자 왕관"
"Advanced Heavy Crown","고급 무거운 왕관"
"Advanced Hewn Mask","고급 깎아낸 가면"
"Advanced Face Mask","고급 얼굴 가면"
"Advanced Hooded Mask","고급 두건 가면"
"Advanced Veiled Mask","고급 장막 가면"
"Advanced Tribal Mask","고급 부족 가면"
"Expert Soldier Greathelm","전문 병사 대헬름"
"Expert Spired Greathelm","전문 첨탑 대헬름"
"Expert Elite Greathelm","전문 정예병 대헬름"
"Expert Felt Cap","전문 펠트 모자"
"Expert Swathed Cap","전문 뒤덮인 모자"
"Expert Hunter Hood","전문 사냥꾼 두건"
"Expert Wicker Tiara","전문 고리버들 티아라"
"Expert Chain Tiara","전문 사슬 티아라"
"Expert Feathered Tiara","전문 깃털 티아라"
"Expert Guarded Helm","전문 보호받는 헬름"
"Expert Cowled Helm","전문 고깔 헬름"
"Expert Shielded Helm","전문 방패 방어 헬름"
"Expert Horned Crown","전문 뿔 달린 왕관"
"Expert Martyr Crown","전문 순교자 왕관"
"Expert Heavy Crown","전문 무거운 왕관"
"Expert Face Mask","전문 얼굴 가면"
"Expert Veiled Mask","전문 장막 가면"
"Expert Tribal Mask","전문 부족 가면"
Bristleboar,가시털멧돼지
Innsmouth,인즈머스
"The Black Doubt","검은 의혹"
"The Knight-errant","무사 수행 기사"
"Erian's Cobble","에리안의 수선"
"Kitoko's Current","키토코의 흐름"
Corpsewade,시신걸음
"Sands of Silk","실크의 모래"
"Apron of Emiran","에미란의 앞치마"
Treefingers,나무손가락
"Couture of Crimson","진홍의 예복"
Gloomform,순흑체
"The Barrow Dweller","고분의 주민"
"Radiant Grief","찬란한 슬픔"
"Enfolding Dawn","감싸 안는 여명"
Dustbloom,황혼꽃
"Quatl's Molt","콰틀의 허물"
"The Dancing Mirage","춤추는 신기루"
"Redflare Conduit","붉은섬광 도관"
"Zerphi's Serape","제르피의 모포"
"The Velvet Orchestra","벨벳 오케스트라"
Necromantle,강령외투
"Prayers for Rain","기우 기도"
"Tetzlapokal's Desire","테츨라포칼의 갈망"
Blackbraid,검은끈
"Edyrn's Tusks","에디른의 엄니"
"Titanrot Cataphract","거신부패 비늘 갑옷"
"Coat of Red","붉은색의 외투"
Irongrasp,철손아귀
"Pariah's Embrace","부랑자의 포옹"
"Widow's Reign","과부의 치세"
"Husk of Dreams","꿈의 껍데기"
Waveshaper,파도형성자
Briarpatch,가시밭
"Sibling Rivalry","형제의 경쟁"
Powertread,"위세의 발 보호대"
Legionstride,"군단의 보조"
Trampletoe,짓발가락
"Birth of Fury","광분의 탄생"
"Obern's Bastion","오베른의 보루"
Shankgonne,정강이대
Timberwolf,숲늑대
"Keeper of the Arc","전호의 보관자"
Northpaw,북방발
"Grip of Winter","겨울의 손아귀"
"Idle Hands","게으른 손"
Plaguefinger,역병손가락
Killjoy,"깨진 흥"
"Painter's Servant","화가의 종"
Candlemaker,"양초 제작자"
Nightscale,밤비늘
Dreadfist,공포주먹
Jarngreipr,야릉그레이프
Deathblow,"죽음의 일격"
"Aerisvane's Wings","아이리스베인의 날개"
"Constricting Command","목 죄이는 명령"
"Visage of Ayah","아야의 얼굴"
"Forbidden Gaze","금단의 응시"
"Atziri's Disdain","앗지리의 멸시"
"Wings of Caelyn","카일린의 날개"
"Corona of the Red Sun","붉은 태양의 광환"
"Gravis Grimace","심한 우거지상"
Greymake,회색작품
"The Smiling Knight","미소 짓는 기사"
"The Vile Knight","끔찍한 기사"
"Crown of the Victor","승리자의 왕관"
Bronzebeard,"황동의 턱수염"
Cornathaum,코르나타움
"The Deepest Tower","가장 깊은 탑"
"Solus Ipse","솔루스 입세"
"Sine Aequo","시네 아이쿠오"
"Ab Aeterno","아브 아이테르노"
"Blessed Bonds","축복받은 유대"
"The Mutable Star","변이하는 별"
Bushwhack,"덤불 매복"
"Horns of Bynden","빈덴의 뿔"
"Luminous Pace","빛나는 발걸음"
"The Hollow Mask","텅 빈 가면"
"Wandering Reliquary","방랑하는 성유물 보관실"
"Hand of Wisdom and Action","지혜와 행동의 손아귀"
"Atsak's Sight","아차크의 시야"
Thunderstep,우레걸음
Ironride,"철의 질주"
"The Immortan",이모탄
Bitterbloom,독살꽃
"Sierran Inheritance","시에라의 유산"
"Myris Uxor","미리스 욱소르"
"Mask of the Sanguimancer","혈액술사의 가면"
"Blueflame Bracers","푸른불길 팔보호구"
"Morior Invictus","모리오르 인빅투스"
Temporalis,템포랄리스
Beetlebite,"딱정벌레 이빨"
"Verisium Cuffs","베리시움 수갑"
"Plated Mitts","판금 미트"
"Elegant Mitts","우아한 미트"
"Ancient Mitts","고대 미트"
"Feathered Mitts","깃털 미트"
"Hunting Bracers","사냥 팔보호구"
"Swift Bracers","재빠른 팔보호구"
"Refined Bracers","제련된 팔보호구"
"Spiked Bracers","가시 팔보호구"
"Ominous Gloves","불길한 장갑"
"Embellished Gloves","장식된 장갑"
"Baroque Gloves","바로크 장갑"
"Gold Gloves","금 장갑"
"Ironmail Gauntlets","철사슬 건틀릿"
"Captain Gauntlets","대장 건틀릿"
"Zealot Gauntlets","맹신자 건틀릿"
"Braided Cuffs","땋은 수갑"
"Heirloom Cuffs","가보 수갑"
"Ornate Cuffs","화려한 수갑"
"Bandage Wraps","붕대 싸개"
"Cambric Wraps","캠브릭 싸개"
"Adorned Wraps","치장된 싸개"
"Knightly Mitts","기사의 미트"
"Ornate Mitts","화려한 미트"
"Vaal Mitts","바알 미트"
"Massive Mitts","거대한 미트"
"Stalking Bracers","뒤를 쫓는 팔보호구"
"Grand Bracers","우수한 팔보호구"
"Barbed Bracers","가시 돋친 팔보호구"
"Polished Bracers","광택 나는 팔보호구"
"Grim Gloves","으스스한 장갑"
"Opulent Gloves","호화로운 장갑"
"Vaal Gloves","바알 장갑"
"Sirenscale Gloves","사이렌비늘 장갑"
"Steelmail Gauntlets","강철사슬 건틀릿"
"Commander Gauntlets","지휘관 건틀릿"
"Cultist Gauntlets","광신자 건틀릿"
"Blacksteel Gauntlets","검은강철 건틀릿"
"Bound Cuffs","속박된 수갑"
"Ancient Cuffs","고대의 수갑"
"Gleaming Cuffs","번뜩이는 수갑"
"Adherent Cuffs","지지자 수갑"
"War Wraps","전쟁 싸개"
"Elegant Wraps","우아한 싸개"
"Vaal Wraps","바알 싸개"
"Secured Wraps","고정된 싸개"
"Golden Greaves","황금 각반"
"Lionheart Greaves","사자심장 각반"
"Elegant Greaves","우아한 각반"
"Carved Greaves","조각된 각반"
"Bound Boots","속박된 장화"
"Sleek Boots","매끈한 장화"
"Studded Boots","징 박힌 장화"
"Laced Sandals","레이스 샌들"
"Bangled Sandals","고리 장식 샌들"
"Elegant Slippers","우아한 슬리퍼"
"Dunerunner Sandals","사구질주자 샌들"
"Soldiering Sabatons","군역 발 덮개"
"Goldwork Sabatons","금가공 발 덮개"
"Bastion Sabatons","보루 발 덮개"
"Adherent Leggings","지지자 레깅스"
"Bound Leggings","속박된 레깅스"
"Shamanistic Leggings","주술사의 레깅스"
"Wayfarer Shoes","나그네 신발"
"Silverbuckled Shoes","은버클 신발"
"Treerunner Shoes","나무질주자 신발"
"Bulwark Greaves","방벽 각반"
"Ornate Greaves","화려한 각반"
"Tasalian Greaves","타살리오의 각반"
"Cinched Boots","단단히 묶은 장화"
"Cavalry Boots","기병대 장화"
"Drakeskin Boots","비룡가죽 장화"
"Bound Sandals","속박된 샌들"
"Luxurious Slippers","호화로운 슬리퍼"
"Sandsworn Sandals","모래맹세 샌들"
"Sekhema Sandals","세케마 샌들"
"Veteran Sabatons","역전 용사 발 덮개"
"Noble Sabatons","귀족 발 덮개"
"Fortress Sabatons","요새 발 덮개"
"Blacksteel Sabatons","검은강철 발 덮개"
"Faithful Leggings","충실한 레깅스"
"Apostle Leggings","사도 레깅스"
"Warlock Leggings","마법사 레깅스"
"Cryptic Leggings","난해한 레깅스"
"Wanderer Shoes","방랑자 신발"
"Charmed Shoes","홀린 신발"
"Quickslip Shoes","빠른 미끄러짐 신발"
"Daggerfoot Shoes","단검발 신발"
"Arcane Raiment","비전 의복"
"Barbarian Plate","야만인의 판금 갑옷"
"Rugged Cuirass","투박한 흉갑"
"Sandsworn Cuirass","모래맹세 흉갑"
"Elegant Plate","우아한 판금 갑옷"
"Heavy Plate","무거운 판금 갑옷"
"Stone Cuirass","돌 흉갑"
"Patchwork Vest","쪽모이 조끼"
