"Spectral Shield Throw","환영 방패 투척"
"Fire Infusion","화염 주입"
Premeditation,모의
"Raging Cry","격노하는 함성"
Demolisher,철거자
Rageforged,격노벼림
"Armour Explosion","방어구 폭발"
"Stomping Ground","짓밟는 지대"
"Deep Cuts","깊은 상처"
Splinter,파편
"Dazing Cry","혼미의 함성"
"Primal Armament","원시적인 병기"
Herbalism,약초학
Cannibalism,식인
Aftershock,여진
Conduction,전도
Scattershot,난사
"Wind Wave","바람 파장"
Envenom,"독액 바르기"
Acceleration,가속
Deceleration,감속
Electrocute,"전기 처형"
Overabundance,과잉
Mobility,기동성
"Perpetual Charge","영속적인 충전"
Pin,고정
"Lightning Exposure","번개 노출"
"Neural Overload","신경 과부하"
"Bursting Plague","터져 나오는 역병"
"Deadly Herald","치명적인 전령"
Corrosion,부식
Infusion,주입
Lockdown,폐쇄
"Mana Bounty","마나 하사품"
"Life Bounty","생명력 하사품"
"Lasting Shock","이어지는 충격"
"Lightning Infusion","번개 주입"
"Life Drain","생명력 고갈"
"Soul Drain","영혼 고갈"
"Martial Tempo","무도의 속도"
Bullseye,일발필중
Profusion,풍성
Comorbidity,동반이환
"Murderous Intent","의도적인 살인"
Crescendo,크레센도
"Deadly Poison","치명적인 중독"
"Window of Opportunity","기회의 창"
Fusillade,"일제 사격"
"Combo Finisher","연계 마무리"
Encumbrance,가탈
Longshot,"원거리 사격"
Discombobulate,"혼란 유발"
"Break Posture","자세 파괴"
Ingenuity,기발함
Glaciation,"빙하 작용"
"Energy Barrier","에너지 방벽"
"Frost Nexus","서리 연결부"
"Coursing Current","세차게 흐르는 전류"
"Magnified Effect","강해진 효과"
"Biting Frost","살을 에는 서리"
Hourglass,모래시계
Fortress,요새
"Cold Exposure","냉기 노출"
"Fiery Death","불타는 죽음"
"Frozen Vortex","얼어붙은 소용돌이"
"Shock Siphon","충격 착취"
Frostfire,서리화염
Stormfire,태풍불길
"Inevitable Critical","피할 수 없는 치명타"
"Elemental Discharge","원소 방출"
"Mana Flare","마나 섬광"
"Soul Thief","영혼 도둑"
"Minion Instability","소환수 불안정"
"Deep Freeze",결빙
"Heightened Curse","고조된 저주"
"Corpse Conservation","시체 보존"
"Cold Infusion","냉기 주입"
"Arcane Tempo","비전의 속도"
"Decaying Hex","쇠퇴의 사술"
"Focused Curse","집중된 저주"
"Ritualistic Curse","의식의 저주"
"Minion Pact","소환수 맹약 보조"
"Last Gasp","마지막 헐떡임"
Supercritical,초치명타
"Chaos Infusion","카오스 주입"
"Fire Mastery","화염 숙련"
"Cold Mastery","냉기 숙련"
"Lightning Mastery","번개 숙련"
"Chaos Mastery","카오스 숙련"
"Physical Mastery","물리 숙련"
"Minion Mastery","소환수 숙련"
"Chaotic Freeze","혼돈의 동결"
"Intense Agony","격렬한 고통"
"Drain Ailments","상태 이상 흡수"
Hinder,"이동 방해"
Soulbreaker,영혼파괴자
"Font of Blood","피의 샘"
"Font of Mana","마나의 샘"
"Font of Rage","격노의 샘"
"Holy Descent","상서로운 비탈"
"Burning Inscription","용암 명문"
"Double Barrel",더블배럴
"Auto Reload","자동 재장전"
"Ammo Conservation","탄약 보존"
"Nimble Reload","가뿐한 재장전"
"Fresh Clip","새 탄창"
"Sacrificial Lamb",희생양
Upheaval,격변
Despoiler,갈취자
Ricochet,"튕겨 쏘기"
"Ancestral Urgency","선대의 다급함"
"Long Fuse","긴 퓨즈"
Payload,화물
"Strip Away","과도한 노출"
Ironwood,철목
"Considered Casting","신중한 시전"
Wildshards,"난무하는 파편"
Icicle,고드름
Glacier,빙하
Heft,중량
"Rising Tempest","밀려오는 폭풍"
Extraction,추출
"Astral Projection","우주의 영사"
"Practiced Combo","숙련된 연계"
Leverage,"지렛대 효과"
Culmination,고조
Potential,잠재력
Expanse,광장
Excise,절제
Execrate,"혐오 표출"
"Energy Retention","에너지 유지"
Ferocity,흉포함
Ablation,삭마
"Danse Macabre","섬뜩한 무도"
Capacitor,축전기
Impetus,탄력
Bidding,지시
Tremors,진동
"Expanding Ground","확장되는 지대"
"Demon Magus","악마 신관"
"Ferocious Roar","사나운 포효"
"Cast on Shock","감전 시 시전"
"Cast on Freeze","동결 시 시전"
"Cast on Ignite","점화 시 시전"
"Cast on Critical","치명타 시 시전"
"Barrier Invocation","방어 기원"
"Cast on Dodge","회피 구르기 시 시전"
"Cast on Melee Stun","근접 기절 시 시전"
"Summon Companion","반려수 소환"
"Ancestral Warrior Totem","선대의 전사 토템"
"Cast on Minion Death","소환수 사망 시 시전"
"Hydra Familiar","히드라 사역수"
"Hand of Chayula","차율라의 손"
"Elemental Invocation","원소 기원"
"Reaper's Invocation","수확자의 기원"
"Cast on Block","막기 시 시전"
"Enervating Nova","피폐의 폭발"
"His Vile Intrusion","그의 끔찍한 침투"
Impurity,부정함
Disengage,철수
"Blood Hunt","피의 사냥"
"Lightning Spear","번개 창"
"Glacial Lance","빙하 창"
"His Dark Horizon","그의 어두운 지평선"
"Phantasmal Arrow","환영의 화살"
Snap,돌발
"Rhoa Mount","로아 탈것"
Twister,돌개바람
"Explosive Spear","폭발 창"
"Elemental Siphon","원소 착취"
"Thunderous Leap","천둥 같은 도약"
"Black Powder Blitz","검은 화약 공세"
"Fortifying Cry","보강하는 함성"
"His Scattering Calamity","그의 흩어 버리는 대재난"
"Spear Throw","창 투척"
"Acidic Concoction","산성 혼합물"
"Ritual Sacrifice","의식 희생"
"Blood Boil","피 종기"
"Inevitable Agony","피할 수 없는 고뇌"
"Charge Regulation","충전 제어"
"Ravenous Swarm","굶주린 무리"
"Whirlwind Lance","와류 기병창"
"Primal Strikes","원시 타격"
"Cull The Weak","약자 솎아내기"
"Fangs of Frost","서리의 송곳니"
"Wind Serpent's Fury","바람 독사의 광분"
Rake,갈퀴질
"Bloodhound's Mark","피사냥개의 징표"
"Tame Beast","짐승 길들이기"
"Spear of Solaris","솔라리스의 창"
"Storm Lance","폭풍의 창"
Parry,흘려보내기
"Elemental Sundering","원소 작렬"
"Companion: {0}","반려수: {0}"
"Trail of Caltrops","마름쇠의 발자취"
"Elemental Surge","원소 쇄도"
"Chaotic Surge","혼돈의 쇄도"
"Manifest Weapon","무기 현현"
"Supporting Fire","지원 사격"
"Temper Weapon","무기 담금질"
"Void Illusion","공허 환상"
Convalescence,요양
"Removed Skill","제거된 스킬"
"Gemini Surge","쌍둥이 쇄도"
"Bursting Fen Toad","터지는 늪 두꺼비"
"Iron Ward","철의 수호"
"Ice Fragments","얼음 파편"
Icestorm,얼음태풍
"Pinnacle of Power","힘의 정점"
Requiem,진혼곡
"Heart of Ice","얼음의 심장"
"Forge Hammer","대장간 망치"
Fulmination,노호
"Feast of Flesh","육체의 연회"
"Toxic Domain","맹독성 영역"
"Ice-Tipped Arrows","얼음촉 화살"
"Valako's Charge","발라코의 책임"
"Crackling Palm","치직대는 손바닥"
Future-Past,미래-과거
"Runic Tempering","룬의 담금질"
"His Winnowing Flame","그의 까부르는 화염"
"His Foul Emergence","그의 부정한 등장"
"Siphon Elements","원소 착취"
"Frost Darts","서리 화살침"
"His Grave Command","그의 중한 명령"
"Soul Crystal: {0}","영혼 수정: {0}"
"Abyssal Apparition","심연의 유령"
"Close Combat I","근접 전투 I"
"Close Combat II","근접 전투 II"
"Ignite I","점화 I"
"Ignite II","점화 II"
"Ignite III","점화 III"
"Bleed I","출혈 I"
"Bleed II","출혈 II"
"Bleed III","출혈 III"
"Bleed IV","출혈 IV"
"Stun I","기절 I"
"Stun II","기절 II"
"Stun III","기절 III"
"Prolonged Duration I","지속시간 연장 I"
"Prolonged Duration II","지속시간 연장 II"
"Prolonged Duration III","지속시간 연장 III"
"Compressed Duration I","지속시간 압축 I"
"Compressed Duration II","지속시간 압축 II"
"Rage I","격노 I"
"Rage II","격노 II"
"Rage III","격노 III"
"Atalui's Bloodletting","아탈루이의 사혈"
"Execute I","처형 I"
"Execute II","처형 II"
"Execute III","처형 III"
"Searing Flame I","이글거리는 화염 I"
"Searing Flame II","이글거리는 화염 II"
"Behead I","참수 I"
"Behead II","참수 II"
"Einhar's Beastrite","아인하르의 야수의식"
"Jagged Ground I","요철 지대 I"
"Jagged Ground II","요철 지대 II"
"Fire Penetration I","화염 관통 I"
"Fire Penetration II","화염 관통 II"
"Enraged Warcry I","격앙된 함성 I"
"Enraged Warcry II","격앙된 함성 II"
"Fist of War I","전쟁의 주먹 I"
"Fist of War II","전쟁의 주먹 II"
"Fist of War III","전쟁의 주먹 III"
"Life Leech I","생명력 흡수 I"
"Life Leech II","생명력 흡수 II"
"Life Leech III","생명력 흡수 III"
"Brutality I","포악함 I"
"Brutality II","포악함 II"
"Brutality III","포악함 III"
"Meat Shield I","육탄 방어 I"
"Meat Shield II","육탄 방어 II"
"Brutus' Brain","브루투스의 두뇌"
"Eternal Flame I","영원한 화염 I"
"Eternal Flame II","영원한 화염 II"
"Eternal Flame III","영원한 화염 III"
"Infernal Legion I","지옥불 군단 I"
"Infernal Legion II","지옥불 군단 II"
"Infernal Legion III","지옥불 군단 III"
"Fire Attunement","화염 조율"
"Efficiency I","효율 I"
"Efficiency II","효율 II"
"Armour Demolisher I","방어구 철거자 I"
"Armour Demolisher II","방어구 철거자 II"
"Uruk's Smelting","우루크의 제련"
"Rageforged I","격노벼림 I"
"Rageforged II","격노벼림 II"
"Corrupting Cry I","타락시키는 비명 I"
"Corrupting Cry II","타락시키는 비명 II"
"Paquate's Pact","파콰테의 맹약"
"Deep Cuts I","깊은 상처 I"
"Deep Cuts II","깊은 상처 II"
"Armour Break I","방어구 파괴 I"
"Armour Break II","방어구 파괴 II"
"Armour Break III","방어구 파괴 III"
"Elemental Armament I","원소 병기 I"
"Elemental Armament II","원소 병기 II"
"Elemental Armament III","원소 병기 III"
"Vitality I","활력 I"
"Vitality II","활력 II"
"Herbalism I","약초학 I"
"Herbalism II","약초학 II"
"Cannibalism I","식인 I"
"Cannibalism II","식인 II"
"Aftershock I","여진 I"
"Aftershock II","여진 II"
"Aftershock III","여진 III"
Shock,감전
"Pierce I","관통 I"
"Pierce II","관통 II"
"Pierce III","관통 III"
"Multishot I","다중 사격 I"
"Multishot II","다중 사격 II"
"Nova Projectiles","폭발 투사체 I"
"Poison I","중독 I"
"Poison II","중독 II"
"Poison III","중독 III"
"Blind I","실명 I"
"Blind II","실명 II"
"Projectile Acceleration I","투사체 가속 I"
"Projectile Acceleration II","투사체 가속 II"
"Projectile Acceleration III","투사체 가속 III"
"Projectile Deceleration I","투사체 감속 I"
"Projectile Deceleration II","투사체 감속 II"
"Vilenta's Propulsion","바일렌타의 추진"
"Overabundance I","과잉 I"
"Overabundance II","과잉 II"
"Overabundance III","과잉 III"
"Pin I","고정 I"
"Pin II","고정 II"
"Pin III","고정 III"
"Chain I","연쇄 I"
"Chain II","연쇄 II"
"Chain III","연쇄 III"
"Second Wind I","새로운 활력 I"
"Second Wind II","새로운 활력 II"
"Second Wind III","새로운 활력 III"
"Bounty I","하사품 I"
"Bounty II","하사품 II"
"Lightning Attunement","번개 조율"
"Rapid Attacks I","빠른 공격 I"
"Rapid Attacks II","빠른 공격 II"
"Rapid Attacks III","빠른 공격 III"
"Heightened Accuracy I","고조된 정확도 I"
"Heightened Accuracy II","고조된 정확도 II"
"Charge Profusion I","넘치는 충전 I"
"Charge Profusion II","넘치는 충전 II"
"Escalating Poison","격화되는 중독"
"Crescendo I","크레센도 I"
"Crescendo II","크레센도 II"
"Crescendo III","크레센도 III"
"Deadly Poison I","치명적인 중독 I"
"Deadly Poison II","치명적인 중독 II"
"Window of Opportunity I","기회의 창 I"
"Window of Opportunity II","기회의 창 II"
"Swift Affliction I","고통 격화 I"
"Swift Affliction II","고통 격화 II"
"Swift Affliction III","고통 격화 III"
"Combo Finisher I","연계 마무리 I"
"Combo Finisher II","연계 마무리 II"
"Ailith's Chimes","아일리트의 종"
"Slow Potency","느린 효력"
"Longshot I","원거리 사격 I"
"Longshot II","원거리 사격 II"
"Culling Strike I","마무리 타격 I"
"Culling Strike II","마무리 타격 II"
Daze,혼미
"Cooldown Recovery I","재사용 대기시간 회복 I"
"Cooldown Recovery II","재사용 대기시간 회복 II"
"Precision I","정밀함 I"
"Precision II","정밀함 II"
Freeze,동결
"Shock Conduction","감전 전도"
"Magnified Area I","범위 확대 I"
"Magnified Area II","범위 확대 II"
"Concentrated Area","범위 집중"
"Fortress I","요새 I"
"Fortress II","요새 II"
"Ahn's Citadel","안의 성채"
"Feeding Frenzy I","격분 주입 I"
"Feeding Frenzy II","격분 주입 II"
"Cold Attunement","냉기 조율"
"Rapid Casting I","빠른 시전 I"
"Rapid Casting II","빠른 시전 II"
"Rapid Casting III","빠른 시전 III"
"Minion Pact I","소환수 맹약 I"
"Minion Pact II","소환수 맹약 II"
"Tecrod's Revenge","테크로드의 복수"
"Chaos Attunement","카오스 조율"
"Doedre's Undoing","도이드리의 파멸"
"Clarity I","명상 I"
"Clarity II","명상 II"
"Double Barrel I","더블배럴 I"
"Double Barrel II","더블배럴 II"
"Double Barrel III","더블배럴 III"
"Ratha's Assault","라타의 공격"
"Ammo Conservation I","탄약 보존 I"
"Ammo Conservation II","탄약 보존 II"
"Ammo Conservation III","탄약 보존 III"
"Arjun's Medal","아르준의 메달"
"Fresh Clip I","새 탄창 I"
"Fresh Clip II","새 탄창 II"
"Sacrificial Lamb I","희생양 I"
"Sacrificial Lamb II","희생양 II"
"Branching Fissures I","파생하는 균열 I"
"Branching Fissures II","파생하는 균열 II"
"Upheaval I","격변 I"
"Upheaval II","격변 II"
"Kaom's Madness","카옴의 광기"
"Lasting Ground","오래가는 지대"
"Ricochet I","튕겨 쏘기 I"
"Ricochet II","튕겨 쏘기 II"
"Ricochet III","튕겨 쏘기 III"
"Urgent Totems I","긴급한 토템 I"
"Urgent Totems II","긴급한 토템 II"
"Urgent Totems III","긴급한 토템 III"
"Long Fuse I","긴 퓨즈 I"
"Long Fuse II","긴 퓨즈 II"
"Potent Exposure","효력 있는 노출"
"Reinforced Totems I","보강된 토템 I"
"Reinforced Totems II","보강된 토템 II"
"Wildshards I","난무하는 파편 I"
"Wildshards II","난무하는 파편 II"
"Sione's Temper","시온의 성미"
"Culmination I","고조 I"
"Culmination II","고조 II"
"Sacrificial Offering","희생의 공물"
"Energy Capacitor","에너지 축전기"
"Boundless Energy I","무한한 에너지 I"
"Boundless Energy II","무한한 에너지 II"
"Harmonic Remnants I","조화로운 잔류물 I"
"Harmonic Remnants II","조화로운 잔류물 II"
Fluke,요행
"Ixchel's Torment","익스첼의 고통"
"Zenith I","북극성 I"
"Zenith II","북극성 II"
"Bidding I","지시 I"
"Bidding II","지시 II"
"Bidding III","지시 III"
Flow,흐름
"Adhesive Grenades I","접착 유탄 I"
"Adhesive Grenades II","접착 유탄 II"
"Adhesive Grenades III","접착 유탄 III"
Commandment,율령
"Retaliate I","보복 I"
"Retaliate II","보복 II"
Salvo,포화
Cadence,운율
Volt,전압
"Bone Shrapnel","뼈 파편"
"Alignment I","정렬 I"
"Alignment II","정렬 II"
"Alignment III","정렬 III"
Derange,분란
"Charged Shots I","충전 사격 I"
"Charged Shots II","충전 사격 II"
"Profanity I","불경 I"
"Profanity II","불경 II"
"Burgeon I","급성장 I"
"Burgeon II","급성장 II"
"Steadfast I","요지부동 I"
"Steadfast II","요지부동 II"
Flamepierce,화염관통
Freezefork,동결갈래
Stormchain,폭풍연쇄
Verglas,베르글라
Embitter,혹독
Battershout,"구타하는 고함"
Nadir,나락
"Abiding Hex","변치 않는 사술"
"Rusted Spikes","녹슨 가시"
"Crazed Minions","미쳐버린 소환수"
"Spectral Volley","영체 사격 공세"
Rally,집결
Hoarfrost,흰서리
Deathmarch,"죽음의 행군"
Acrimony,신랄
"Concoct I","배합 I"
"Concoct II","배합 II"
Ambrosia,암브로시아
"Persistent Ground I","유지되는 대지 I"
"Persistent Ground II","유지되는 대지 II"
"Persistent Ground III","유지되는 대지 III"
"Selfless Remnants","이타적인 잔류물"
"Remnant Potency I","잔류물 효력 I"
"Remnant Potency II","잔류물 효력 II"
"Remnant Potency III","잔류물 효력 III"
Reverberate,울림
Clash,격돌
Malady,질병
Dazzle,현란
Syzygy,삭망
Unyielding,완고
Desperation,필사
Overextend,무리
Excoriate,박피
Unbending,부동
"Retreat I","퇴각 I"
"Retreat II","퇴각 II"
"Retreat III","퇴각 III"
"Pursuit I","추격 I"
"Pursuit II","추격 II"
"Pursuit III","추격 III"
Overreach,"질러 뻗기"
Commiserate,동정
Blindside,"맹점 공략"
"Hit and Run","치고 빠지기"
"Defy I","거역 I"
"Defy II","거역 II"
"Crackling Barrier","치직대는 방벽"
Muster,결집
"Hulking Minions","육중한 소환수"
Caltrops,마름쇠
Haemocrystals,혈액수정
Spar,대련
Dauntless,대담
"Magnetic Remnants","자성 잔류물"
"Ancestral Call I","선대의 부름 I"
"Ancestral Call II","선대의 부름 II"
"Ancestral Call III","선대의 부름 III"
"Quill Burst","가시 격발"
"Unsteady Tempo","불안정한 속도"
"Ancestral Aid","선대의 도움"
"Shocking Leap","감전 도약"
"Barbs I","미늘 I"
"Barbs II","미늘 II"
"Barbs III","미늘 III"
Rime,흰서리
"Arms Length","거리 유지"
"Charm Bounty","넉넉한 호신부"
"Thornskin I","가시피부 I"
"Thornskin II","가시피부 II"
"Mysticism I","신비주의 I"
"Mysticism II","신비주의 II"
"Direstrike I","극한타격 I"
"Direstrike II","극한타격 II"
"Upwelling I","용승 I"
"Upwelling II","용승 II"
"Warm Blooded","따뜻한 피"
"Cool Headed","차가운 머리"
"Strong Hearted",강심장
"Refraction I","굴절 I"
"Refraction II","굴절 II"
"Refraction III","굴절 III"
"Greatwood I","큰나무 I"
"Greatwood II","큰나무 II"
Untouchable,불가촉
Unabating,불요불굴
"Punch Through","흘려 치기"
Rip,뜯기
Tear,찢기
"Brink I","목전 I"
"Brink II","목전 II"
Tireless,끈기
"Volcanic Eruption","화산 분출"
"First Blood","첫 출혈"
"Frenzied Riposte","열광적인 반격"
Hobble,절뚝거림
"Heightened Charges","고조된 충전"
Incision,절개
Catharsis,카타르시스
"Delayed Gratification","보상 유예"
Loyalty,충성심
"Romira's Requital","로미라의 보답"
"Rearm I","재무장 I"
"Rearm II","재무장 II"
"Delayed Reaction","지연 반응"
"Volatile Power","일촉즉발의 힘"
Gambleshot,"도박 사격"
"Unerring Power","흔들리지 않는 힘"
Perfection,완벽
Deliberation,신중
"See Red","빨간색 보기"
"Short Fuse I","짧은 퓨즈 I"
"Short Fuse II","짧은 퓨즈 II"
Undermine,"기반 약화"
Outmaneuver,"허 찌르기"
"Mark for Death","죽음의 징표"
Tumult,격동
Admixture,배합물
"Stoicism I","극기 I"
"Stoicism II","극기 II"
"Relentless Rage","그치지 않는 격노"
Brambleslam,"가시나무 강타"
Inhibitor,억제자
"Hardy Totems I","강인한 토템 I"
"Hardy Totems II","강인한 토템 II"
"Tawhoa's Tending","타호아의 보살핌"
"Encroaching Ground","잠식하는 지대"
"Living Lightning","살아 있는 번개 보조"
"Living Lightning II","살아 있는 번개 II"
"Frozen Spite","얼어붙은 악의"
"Piety's Mercy","파이어티의 자비"
"Flame Pillar","화염 기둥"
"Streamlined Rounds","유선형 탄환"
"Perfected Endurance","다듬어진 인내"
"Enduring Impact I","지속되는 충격 I"
"Enduring Impact II","지속되는 충격 II"
Crater,분화구
"Vanguard I","선봉대 I"
"Vanguard II","선봉대 II"
"Crystalline Shards","결정체 파편"
"Skittering Stone I","달리는 돌 I"
"Skittering Stone II","달리는 돌 II"
"Dialla's Desire","디알라의 갈망"
"Kalisa's Crescendo","칼리사의 크레센도"
Durability,내구도
"Xoph's Pyre","조프의 장작"
"Esh's Radiance","에쉬의 광휘"
"Tul's Stillness","툴의 고요"
"Uul-Netol's Embrace","울네톨의 포옹"
"Rakiata's Flow","라키아타의 흐름"
"Rigwald's Ferocity","리그월드의 흉포함"
"Uhtred's Exodus","우트레드의 탈출"
"Uhtred's Omen","우트레드의 징조"
"Uhtred's Augury","우트레드의 점술"
"Daresso's Passion","다레소의 열정"
"Atziri's Allure","앗지리의 매혹"
"Tacati's Ire","타카티의 진노"
"Zarokh's Refrain","자로크의 절제"
"Garukhan's Resolve","가루칸의 투지"
"Kurgal's Leash","쿠르갈의 가죽끈"
"Kulemak's Dominion","쿨레막의 지배"
"Amanamu's Tithe","아마나무의 십일조"
"Varashta's Blessing","바라시타의 축복"
"Arbiter's Ignition","중재자의 점화"
"Arakaali's Lust","아라칼리의 욕망"
"Cast on Elemental Ailment","원소 상태 이상 시 시전"
"Called Shots","지정 사격"
"Curse on Block","막기 시 저주"
"Cast on Charm Use","호신부 사용 시 시전"
"Thundergod's Wrath","천둥신의 진노"
"Fire Spell on Hit","명중 시 화염 주문"
"Mortar Cannon","박격포 대포"
"Wall of Force","힘의 벽"
Conflagration,"연소 화재"
"Kinetic Rain","역학 비"
"Somatic Shell","신체의 껍질"
Thunderstorm,뇌우
"Kinetic Fusillade","역학 일제 사격"
"Order: To me!","명령: 내게 와라!"
"Return to Dust","먼지로 돌아가라"
"Seize the Flesh","살점 붙잡기"
"Violent Desire","난폭한 갈망"
"Tender Embrace","다정한 포옹"
"Heart of Flame","화염의 심장"
"His Burning Message","그의 불타는 뜻"
"Call the Pyre","장작 부르기"
"The Grey Wind Howls","회색 바람의 포효"
"Wreathed in Light","빛에 휩싸임"
"Glowing Silhouette","빛나는 실루엣"
"Enervating Grasp","피폐의 장악"
"Overcharged Sinews","과충전된 힘줄"
"Dance in the White","설원에서의 춤"
"Falling Crystals","낙하하는 수정"
"The Great Avalanche",대눈사태
"Preserving Stillness","보존의 고요"
"Focused Channelling","집약된 집중 유지 보조"
Windburst,"바람 격발 보조"
"Kinetic Instability","역학 불안정성 보조"
"Molten Crash","용암 충격"
"Shattering Spite","악의 파편"
Rend,분리
"Wolf Pack","늑대 무리"
"Cackling Companions","하이에나 반려수"
Pounce,급습
"Tectonic Slams","지층 강타"
"Nova Projectiles I","폭발 투사체 I"
"Eonyr's Thunder","에오니르의 천둥"
"Shock Conduction I","감전 전도 I"
"Shock Conduction II","감전 전도 II"
Expand,확장
"Zarokh's Revolt","자로크의 봉기"
"Biting Frost I","살을 에는 서리 I"
"Biting Frost II","살을 에는 서리 II"
"Inexorable Critical I","거침없는 치명타 I"
"Inexorable Critical II","거침없는 치명타 II"
"Oisín's Oath","오이신의 서약"
"Ice Bite I","얼음 쐐기 I"
"Ice Bite II","얼음 쐐기 II"
"Bhatair's Vengeance","바타이르의 복수"
"Hayoxi's Fulmination","하욕시의 뇌전"
"Zerphi's Infamy","제르피의 악명"
"Helbrym's Hide","헬브림의 가죽"
"Navira, the Last Mirage","최후의 신기루 나비라"
"Navira's Fracturing","나비라의 파열"
"Navira's Well","나비라의 우물"
"Ruzhan, the Blazing Sword","불타는 검 루잔"
"Ruzhan's Trap","루잔의 덫"
"Ruzhan's Reckoning","루잔의 선고"
"Ruzhan's Fury","루잔의 광분"
"Kelari, the Tainted Sands","더럽혀진 사막 켈라리"
"Kelari's Deception","켈라리의 기만"
"Kelari's Judgment","켈라리의 심판"
"Kelari's Malediction","켈라리의 악담"
"Align Fate","운명 정렬"
"Moment of Vulnerability","취약성의 순간"
"Mirage Deadeye","신기루 명사수"
"Guatelitzi's Ablation","과텔리치의 삭마"
"Ambrosia II","암브로시아 II"
"Cirel's Cultivation","키렐의 함양"
"Splinter Totem I","파편 토템 I"
"Splinter Totem II","파편 토템 II"
"Mark for Death II","죽음의 징표 II"
"Static Shocks","정전기 감전"
"Wing Blast","날개 돌풍"
"Oil Barrage","기름 포화"
"Flame Breath","화염 숨결"
Entangle,얽어매기
Shred,발기기
"Fury of the Mountain","산의 광분"
"Cross Slash","십자 베기"
"Lunar Assault","달의 공격"
"Primal Avatar","원시 화신"
"Thrashing Vines","몸부림치는 덩굴"
"Lunar Blessing","달의 축복"
"Arctic Howl","한기의 울부짖음"
Electromagnetism,전자기력
"Dominus' Grasp","도미누스의 장악"
"Atziri's Call","앗지리의 부름"
"Atziri's Communion","앗지리의 성찬식"
"Atziri's Impatience","앗지리의 조바심"
"Dreamer's Knell","몽상가의 종소리"
"Tasalio's Rhythm","타살리오의 리듬"
"Xibaqua's Rending","지바콰의 분리"
"Khatal's Rejuvenation","카탈의 회춘"
"Morgana's Tempest","모르가나의 폭풍"
"Navira's Oasis","나비라의 오아시스"
"Creeping Chill","엄습하는 오한"
Briarpatch,가시밭
"Eternal Rage","영원한 격노"
"Savage Fury","야만적인 광분"
"Walking Calamity","걸어다니는 대재난"
Apocalypse,종말
"Mark of Siphoning","착취의 징표"
"Mark of Siphoning II","착취의 징표 II"
"Thrill of the Kill","살인의 전율"
"Thrill of the Kill II","살인의 전율 II"
"Exposing Cry","노출의 함성"
"Opening Move","첫 수"
"Accelerated Growth","가속된 성장"
"Accelerated Growth II","가속된 성장 II"
"Fan The Flames","불난 집 부채질"
"Fan The Flames II","불난 집 부채질 II"
"Mirror of Refraction","굴절의 거울"
Barkskin,껍질피부
"Feral Invocation","야생의 기원"
"Poison Spores","독 포자"
"Deadly Resolve","치명적인 투지"
"Advancing Storm","전진하는 폭풍"
"Echoing Cry","메아리치는 함성"
Gorge,탐식
"Empowered Sparks I","강화된 전기불꽃 I"
"Empowered Sparks II","강화된 전기불꽃 II"
"Controlled Hazard","제어된 위해 요소"
"Brittle Armour","깨지기 쉬운 방어구"
"Rending Apex","분리하는 정점"
"Practical Magic I","실전 마법 I"
"Practical Magic II","실전 마법 II"
"Blazing Critical","타오르는 치명타"
"Concussive Spells","뇌진탕 주문"
"Eternal Mark","영원한 징표"
"Catalysing Elements","촉진시키는 원소"
"Nova Projectiles II","폭발 투사체 II"
"Charged Mark","충전된 징표"
"Holy Sweep","신성한 휩쓸기"
"Holy Hammers","신성한 망치"
"Shield of Light","빛의 방패"
"Holy Strike","신성한 타격"
"Divine Blast","신성한 폭발"
"Multiple Projectiles","다중 투사체 보조"
"Greater Spell Cascade","상위 연속 주문 보조"
Eclipse,"일식 보조"
"Invert the Rules","규칙 뒤집기 보조"
"Cast on Ward Break","수호 파괴 시 시전 보조"
Ward,"수호 보조"
"Vaal Sacrifice","바알 희생 보조"
"Greater Spell Echo","상위 주문 메아리 보조"
"Vaal Temptation","바알 유혹 보조"
Machinations,"계책 보조"
Pyre,"장작 보조"
Bonespire,"뼈 첨탑 보조"
Foulgrasp,"부정한 손아귀 보조"
Hiveborn,"벌레집 태생 보조"
"Scornful Herald","경멸하는 전령 보조"
"Cull the Weak","약자 솎아내기 보조"
"Greater Ancestral Call","상위 선대의 부름 보조"
Fissure,"균열 보조"
Hextoad,"사술두꺼비 보조"
Hexpass,"사술통과 보조"
"Greater Fork","상위 갈래 보조"
"Greater Chain","상위 연쇄 보조"
"Lethal Dose","치사량 투여 보조"
Companionship,"반려 의식 보조"
"Divine Sentinel","신성한 파수꾼 보조"
Annihilation,"절멸 보조"
Edify,"교화 보조"
Invention,"발명 보조"
"Greater Kinetic Instability","상위 역학 불안정성 보조"
"Cooldown Recovery","재사용 대기시간 회복 보조"
Voidstorm,"공허폭풍 보조"
"Void Shockwave","공허 충격파 보조"
"Eldritch Blasphemy","섬뜩한 신성 모독 보조"
Gluttony,"폭식 보조"
Overheat,"과열 보조"
"Greater Multistrike","상위 연속타격 보조"
Congregation,"회중 보조"
Frostmage,"서리 마법사 보조"
"Greater Devour","상위 포식 보조"
Magnetism,"자력 보조"
"Greater Unleash","상위 촉발 보조"
Pacifism,"평화주의 보조"
"Bloodsoaked Banner","피투성이 깃발 보조"
"Harrowing Throng","참혹한 인파 보조"
"Unholy Trinity","불경한 삼위일체 보조"
"Overloaded Intensity","과부하된 격렬함 보조"
Transfusion,"수혈 보조"
Excommunicate,"제명 보조"
Exemplar,"귀감 보조"
